_init_proc                                   .init       0000000000402848 00000080 00000010 00000000 R . . . . . .
apndCheckReservedLock                        .text       00000000004104D4 0000005C 00000008 00000008 R . . . . . .
apndFileControl                              .text       0000000000410530 000000E8 00000020 0000000C R . . . . . .
apndSectorSize                               .text       0000000000410618 00000054 00000008 00000004 R . . . . . .
apndDeviceCharacteristics                    .text       000000000041066C 00000054 00000008 00000004 R . . . . . .
apndShmMap                                   .text       00000000004106C0 00000074 00000018 00000014 R . . . . . .
apndShmLock                                  .text       0000000000410734 0000006C 00000008 00000010 R . . . . . .
apndShmBarrier                               .text       00000000004107A0 00000058 00000008 00000004 R . . . . . .
apndShmUnmap                                 .text       00000000004107F8 0000005C 00000008 00000008 R . . . . . .
apndFetch                                    .text       0000000000410854 000000AC 00000020 00000018 R . . . . . .
apndUnfetch                                  .text       0000000000410900 000000A4 00000020 00000014 R . . . . . .
apndIsOrdinaryDatabaseFile                   .text       00000000004109A4 0000012C 00000038 00000008 R . . . . . .
apndReadMark                                 .text       0000000000410AD0 00000270 00000070 00000008 R . . . . . .
apndOpen                                     .text       0000000000410D40 0000032C 00000050 00000014 R . . . . . .
apndDelete                                   .text       000000000041106C 00000060 00000008 0000000C R . . . . . .
apndAccess                                   .text       00000000004110CC 00000068 00000008 00000010 R . . . . . .
apndFullPathname                             .text       0000000000411134 00000068 00000008 00000010 R . . . . . .
apndDlOpen                                   .text       000000000041119C 00000058 00000008 00000008 R . . . . . .
apndDlError                                  .text       00000000004111F4 00000064 00000008 0000000C R . . . . . .
apndDlSym                                    .text       0000000000411258 00000060 00000008 0000000C R . . . . . .
apndDlClose                                  .text       00000000004112B8 0000005C 00000008 00000008 R . . . . . .
apndRandomness                               .text       0000000000411314 00000060 00000008 0000000C R . . . . . .
apndSleep                                    .text       0000000000411374 00000058 00000008 00000008 R . . . . . .
apndCurrentTime                              .text       00000000004113CC 00000058 00000008 00000008 R . . . . . .
apndGetLastError                             .text       0000000000411424 00000060 00000008 0000000C R . . . . . .
apndCurrentTimeInt64                         .text       0000000000411484 00000058 00000008 00000008 R . . . . . .
apndSetSystemCall                            .text       00000000004114DC 00000060 00000008 0000000C R . . . . . .
apndGetSystemCall                            .text       000000000041153C 00000058 00000008 00000008 R . . . . . .
apndNextSystemCall                           .text       0000000000411594 00000058 00000008 00000008 R . . . . . .
sqlite3_appendvfs_init                       .text       00000000004115EC 000000D8 00000018 0000000C R . . . . . .
idxMalloc                                    .text       00000000004116C4 00000114 00000018 00000008 R . . . . . .
idxHashInit                                  .text       00000000004117D8 0000005C 00000010 00000004 R . . . . . .
idxHashClear                                 .text       0000000000411834 000000FC 00000020 00000004 R . . . . . .
idxHashString                                .text       0000000000411930 000000BC 00000010 00000008 R . . . . . .
idxHashAdd                                   .text       00000000004119EC 000002A4 00000020 00000010 R . . . . . .
idxHashFind                                  .text       0000000000411C90 00000164 00000018 0000000C R . . . . . .
idxHashSearch                                .text       0000000000411DF4 0000006C 0000000C 0000000C R . . . . . .
idxNewConstraint                             .text       0000000000411E60 00000110 00000018 00000008 R . . . . . .
idxDatabaseError                             .text       0000000000411F70 00000084 00000010 00000008 R . . . . . .
idxPrepareStmt                               .text       0000000000411FF4 0000009C 00000020 00000010 R . . . . . .
idxPrintfPrepareStmt                         .text       0000000000412090 000000F8 00000030 00000011 R . . . . . .
expertDequote                                .text       0000000000412188 000001F8 00000020 00000004 R . . . . . .
expertConnect                                .text       0000000000412380 00000214 00000040 00000018 R . . . . . .
expertDisconnect                             .text       0000000000412594 0000005C 00000018 00000004 R . . . . . .
expertBestIndex                              .text       00000000004125F0 000003B0 00000048 00000000 R . . . . . .
expertUpdate                                 .text       00000000004129A0 00000034 00000004 00000010 R . . . . . .
expertOpen                                   .text       00000000004129D4 0000009C 00000028 00000000 R . . . . . .
expertClose                                  .text       0000000000412A70 0000007C 00000018 00000004 R . . . . . .
expertEof                                    .text       0000000000412AEC 0000003C 0000000C 00000004 R . . . . . .
expertNext                                   .text       0000000000412B28 000000F0 00000018 00000004 R . . . . . .
expertRowid                                  .text       0000000000412C18 00000040 00000004 00000008 R . . . . . .
expertColumn                                 .text       0000000000412C58 0000009C 00000018 0000000C R . . . . . .
expertFilter                                 .text       0000000000412CF4 0000010C 00000028 00000010 R . . . . . .
idxRegisterVtab                              .text       0000000000412E00 0000006C 00000010 00000004 R . . . . . .
