.init_proc                                   .init  0000000000011634 0000000C 00000008 FFFFFFFFFFFFFFF8 R . . . . . .
findElementWithHash                          .text  0000000000048690 00000118 00000028 00000000         R . . . B . .
removeElementGivenHash                       .text  00000000000487AC 00000114 00000020 00000000         R . . . B . .
sqlite3HashFind                              .text  00000000000488C0 00000038 00000010 00000000         R . . . B . .
sqlite3HashInsert                            .text  00000000000488F8 000001DC 00000030 00000000         R . . . B . .
sqlite3OpcodeName                            .text  0000000000048AD8 0000002C 00000010 00000000         R . . . B . .
posixOpen                                    .text  0000000000048B08 00000038 00000018 00000000         R . . . B . .
robustFchown                                 .text  0000000000048B40 00000060 00000018 00000000         R . . . B . .
unixSetSystemCall                            .text  0000000000048BA4 00000218 00000020 00000000         R . . . B . .
unixGetSystemCall                            .text  0000000000048DC0 000000A8 00000018 00000000         R . . . B . .
unixNextSystemCall                           .text  0000000000048E6C 00000114 00000018 00000000         R . . . B . .
robust_open                                  .text  0000000000048F84 00000198 00000098 00000000         R . . . B . .
unixEnterMutex                               .text  000000000004912C 00000020 00000008 00000000         R . . . B . .
unixLeaveMutex                               .text  0000000000049150 00000020 00000008 00000000         R . . . B . .
robust_ftruncate                             .text  0000000000049174 00000064 00000020 00000000         R . . . B . .
sqliteErrorFromPosixError                    .text  00000000000491DC 00000080 00000010 00000000         R . . . B . .
unixLogErrorAtLine                           .text  000000000004925C 000000D4 00000088 00000000         R . . . B . .
robust_close                                 .text  000000000004933C 0000006C 00000018 00000000         R . . . B . .
storeLastErrno                               .text  00000000000493B4 00000030 00000010 00000000         R . . . B . .
closePendingFds                              .text  00000000000493E4 00000084 00000020 00000000         R . . . B . .
releaseInodeInfo                             .text  000000000004946C 000000F4 00000018 00000000         R . . . B . .
findInodeInfo                                .text  0000000000049564 00000230 000000A8 00000000         R . . . B . .
fileHasMoved                                 .text  00000000000497A4 000000A8 00000088 00000000         R . . . B . .
verifyDbFile                                 .text  0000000000049854 0000011C 00000088 00000000         R . . . B . .
unixCheckReservedLock                        .text  0000000000049988 00000168 00000050 00000000         R . . . B . .
unixFileLock                                 .text  0000000000049B00 00000134 00000048 00000000         R . . . B . .
unixLock                                     .text  0000000000049C44 00000498 00000050 00000000         R . . . B . .
setPendingFd                                 .text  000000000004A0F0 0000006C 00000018 00000000         R . . . B . .
posixUnlock                                  .text  000000000004A15C 000002CC 00000058 00000000         R . . . B . .
unixUnlock                                   .text  000000000004A43C 00000034 00000010 00000000         R . . . B . .
closeUnixFile                                .text  000000000004A470 00000084 00000018 00000000         R . . . B . .
unixClose                                    .text  000000000004A4F8 000000A4 00000020 00000000         R . . . B . .
nolockCheckReservedLock                      .text  000000000004A59C 00000034 00000010 00000000         R . . . B . .
nolockLock                                   .text  000000000004A5D0 00000028 00000010 00000000         R . . . B . .
nolockUnlock                                 .text  000000000004A5F8 00000028 00000010 00000000         R . . . B . .
nolockClose                                  .text  000000000004A620 00000028 00000010 00000000         R . . . B . .
dotlockCheckReservedLock                     .text  000000000004A648 0000007C 00000020 00000000         R . . . B . .
dotlockLock                                  .text  000000000004A6C8 00000100 00000020 00000000         R . . . B . .
dotlockUnlock                                .text  000000000004A7D4 000000E8 00000020 00000000         R . . . B . .
dotlockClose                                 .text  000000000004A8C4 0000004C 00000018 00000000         R . . . B . .
seekAndRead                                  .text  000000000004A910 00000184 00000038 00000008         R . . . B . .
unixRead                                     .text  000000000004AA98 00000194 00000038 00000004         R . . . B . .
seekAndWriteFd                               .text  000000000004AC34 000000DC 00000038 0000000C         R . . . B . .
seekAndWrite                                 .text  000000000004AD14 0000005C 00000028 00000008         R . . . B . .
unixWrite                                    .text  000000000004AD70 000000F8 00000030 00000000         R . . . B . .
full_fsync                                   .text  000000000004AE6C 00000034 00000020 00000000         R . . . B . .
openDirectory                                .text  000000000004AEA0 0000013C 00000220 00000000         R . . . B . .
unixSync                                     .text  000000000004AFEC 00000168 00000028 00000000         R . . . B . .
unixTruncate                                 .text  000000000004B16C 0000015C 00000030 00000000         R . . . B . .
unixFileSize                                 .text  000000000004B2D4 000000C8 00000090 00000000         R . . . B . .
fcntlSizeHint                                .text  000000000004B3A8 00000260 000000B0 00000000         R . . . B . .
unixModeBit                                  .text  000000000004B624 000000F8 00000018 00000000         R . . . B . .
unixFileControl                              .text  000000000004B71C 000002FC 00000038 00000000         R . . . B . .
setDeviceCharacteristics                     .text  000000000004BA20 00000064 00000010 00000000         R . . . B . .
unixSectorSize                               .text  000000000004BA84 00000034 00000018 00000000         R . . . B . .
unixDeviceCharacteristics                    .text  000000000004BAB8 00000034 00000018 00000000         R . . . B . .
unixGetpagesize                              .text  000000000004BAEC 0000001C 00000008 00000000         R . . . B . .
unixShmSystemLock                            .text  000000000004BB08 000000EC 00000050 00000000         R . . . B . .
unixShmRegionPerMap                          .text  000000000004BBFC 00000058 00000010 00000000         R . . . B . .
unixShmPurge                                 .text  000000000004BC58 00000154 00000020 00000000         R . . . B . .
unixLockSharedMemory                         .text  000000000004BDB4 00000188 00000048 00000000         R . . . B . .
unixOpenSharedMemory                         .text  000000000004BF58 0000038C 000000A8 00000000         R . . . B . .
unixShmMap                                   .text  000000000004C308 00000550 000000F0 00000004         R . . . B . .
unixShmLock                                  .text  000000000004C884 000003AC 00000038 00000000         R . . . B . .
unixShmBarrier                               .text  000000000004CC30 00000028 00000010 00000000         R . . . B . .
unixShmUnmap                                 .text  000000000004CC58 00000138 00000020 00000000         R . . . B . .
unixUnmapfile                                .text  000000000004CD94 00000084 00000018 00000000         R . . . B . .
unixRemapfile                                .text  000000000004CE1C 000001F8 00000058 00000000         R . . . B . .
unixMapfile                                  .text  000000000004D024 0000011C 00000090 00000000         R . . . B . .
unixFetch                                    .text  000000000004D14C 000000EC 00000030 00000008         R . . . B . .
unixUnfetch                                  .text  000000000004D238 0000005C 00000020 00000004         R . . . B . .
posixIoFinderImpl                            .text  000000000004D294 00000028 00000010 00000000         R . . . B . .
nolockIoFinderImpl                           .text  000000000004D2C0 00000028 00000010 00000000         R . . . B . .
dotlockIoFinderImpl                          .text  000000000004D2EC 00000028 00000010 00000000         R . . . B . .
fillInUnixFile                               .text  000000000004D318 00000270 00000038 00000004         R . . . B . .
unixTempFileDir                              .text  000000000004D5AC 00000130 00000080 00000000         R . . . B . .
unixGetTempname                              .text  000000000004D6F4 00000120 00000040 00000000         R . . . B . .
findReusableFd                               .text  000000000004D824 0000018C 00000098 00000000         R . . . B . .
getFileMode                                  .text  000000000004D9BC 000000B4 00000090 00000000         R . . . B . .
findCreateFileMode                           .text  000000000004DA7C 000001A8 00000238 00000004         R . . . B . .
unixOpen                                     .text  000000000004DC30 00000524 00000280 00000004         R . . . B . .
unixDelete                                   .text  000000000004E170 00000140 00000028 00000000         R . . . B . .
unixAccess                                   .text  000000000004E2D8 000000E0 00000090 00000000         R . . . B . .
mkFullPathname                               .text  000000000004E3C0 00000124 00000020 00000000         R . . . B . .
unixFullPathname                             .text  000000000004E4F8 000002E4 000000A8 00000000         R . . . B . .
unixDlOpen                                   .text  000000000004E7FC 00000030 00000010 00000000         R . . . B . .
unixDlError                                  .text  000000000004E830 00000054 00000020 00000000         R . . . B . .
unixDlSym                                    .text  000000000004E888 00000040 00000020 00000000         R . . . B . .
unixDlClose                                  .text  000000000004E8CC 00000028 00000010 00000000         R . . . B . .
unixRandomness                               .text  000000000004E8F4 00000120 00000028 00000000         R . . . B . .
unixSleep                                    .text  000000000004EA28 00000030 00000010 00000000         R . . . B . .
unixCurrentTimeInt64                         .text  000000000004EA58 000000C8 00000028 00000000         R . . . B . .
unixCurrentTime                              .text  000000000004EB2C 0000009C 00000030 00000000         R . . . B . .
unixGetLastError                             .text  000000000004EBD0 00000030 00000018 00000000         R . . . B . .
sqlite3_os_init                              .text  000000000004EC00 00000098 00000010 00000000         R . . . B . .
sqlite3_os_end                               .text  000000000004ECA0 00000028 00000004 00000000         R . . . B . .
sqlite3BitvecCreate                          .text  000000000004ECCC 00000048 00000018 00000000         R . . . B . .
sqlite3BitvecTestNotNull                     .text  000000000004ED14 000001C8 00000018 00000000         R . . . B . .
sqlite3BitvecTest                            .text  000000000004EEE0 00000050 00000010 00000000         R . . . B . .
sqlite3BitvecSet                             .text  000000000004EF30 000003C8 00000028 00000000         R . . . B . .
sqlite3BitvecClear                           .text  000000000004F2FC 000002A0 00000028 00000000         R . . . B . .
sqlite3BitvecDestroy                         .text  000000000004F5A0 00000088 00000018 00000000         R . . . B . .
sqlite3BitvecSize                            .text  000000000004F628 00000028 00000010 00000000         R . . . B . .
sqlite3BitvecBuiltinTest                     .text  000000000004F650 00000478 00000040 00000000         R . . . B . .
pcacheManageDirtyList                        .text  000000000004FACC 000001A8 00000018 00000000         R . . . B . .
pcacheUnpin                                  .text  000000000004FC74 00000054 00000010 00000000         R . . . B . .
numberOfCachePages                           .text  000000000004FCCC 000000A0 00000020 00000000         R . . . B . .
sqlite3PcacheInitialize                      .text  000000000004FD6C 00000040 00000008 00000000         R . . . B . .
sqlite3PcacheShutdown                        .text  000000000004FDB0 00000038 00000008 00000000         R . . . B . .
sqlite3PcacheSize                            .text  000000000004FDEC 0000001C 00000004 00000000         R . . . B . .
sqlite3PcacheOpen                            .text  000000000004FE08 000000AC 00000018 00000008         R . . . B T .
sqlite3PcacheSetPageSize                     .text  000000000004FEB4 000000D4 00000020 00000000         R . . . B . .
sqlite3PcacheFetch                           .text  000000000004FF8C 00000060 00000020 00000000         R . . . B . .
sqlite3PcacheFetchStress                     .text  000000000004FFF0 00000188 00000020 00000000         R . . . B . .
pcacheFetchFinishWithInit                    .text  000000000005017C 000000C4 00000020 00000000         R . . . B . .
sqlite3PcacheFetchFinish                     .text  0000000000050240 0000009C 00000020 00000000         R . . . B . .
sqlite3PcacheRelease                         .text  00000000000502DC 00000098 00000010 00000000         R . . . B . .
sqlite3PcacheRef                             .text  0000000000050374 00000060 00000010 00000000         R . . . B . .
sqlite3PcacheDrop                            .text  00000000000503D4 00000074 00000010 00000000         R . . . B . .
sqlite3PcacheMakeDirty                       .text  000000000005044C 00000088 00000010 00000000         R . . . B . .
sqlite3PcacheMakeClean                       .text  00000000000504D4 00000078 00000010 00000000         R . . . B . .
sqlite3PcacheCleanAll                        .text  000000000005054C 00000040 00000018 00000000         R . . . B . .
sqlite3PcacheClearWritable                   .text  000000000005058C 00000074 00000018 00000000         R . . . B . .
sqlite3PcacheClearSyncFlags                  .text  0000000000050600 00000074 00000018 00000000         R . . . B . .
sqlite3PcacheMove                            .text  0000000000050674 00000094 00000020 00000000         R . . . B . .
sqlite3PcacheTruncate                        .text  000000000005070C 00000108 00000020 00000000         R . . . B . .
sqlite3PcacheClose                           .text  0000000000050818 00000034 00000010 00000000         R . . . B . .
sqlite3PcacheClear                           .text  0000000000050850 00000028 00000010 00000000         R . . . B . .
pcacheMergeDirtyList                         .text  0000000000050878 000000DC 00000040 00000000         R . . . B . .
pcacheSortDirtyList                          .text  0000000000050958 00000200 000000A0 00000000         R . . . B . .
sqlite3PcacheDirtyList                       .text  0000000000050B5C 00000068 00000018 00000000         R . . . B . .
sqlite3PcacheRefCount                        .text  0000000000050BC4 00000028 00000010 00000000         R . . . B . .
sqlite3PcachePageRefcount                    .text  0000000000050BEC 00000028 00000010 00000000         R . . . B . .
sqlite3PcachePagecount                       .text  0000000000050C14 00000038 00000010 00000000         R . . . B . .
sqlite3PcacheSetCachesize                    .text  0000000000050C50 00000054 00000018 00000000         R . . . B . .
sqlite3PcacheSetSpillsize                    .text  0000000000050CA8 000000DC 00000028 00000000         R . . . B . .
sqlite3PcacheShrink                          .text  0000000000050D84 00000034 00000010 00000000         R . . . B . .
sqlite3HeaderSizePcache                      .text  0000000000050DBC 0000001C 00000004 00000000         R . . . B . .
sqlite3PCachePercentDirty                    .text  0000000000050DD8 000000C0 00000028 00000000         R . . . B . .
sqlite3PCacheBufferSetup                     .text  0000000000050E98 00000150 00000020 00000000         R . . . B . .
pcache1InitBulk                              .text  0000000000050FF0 0000028C 00000038 00000000         R . . . B . .
pcache1Alloc                                 .text  0000000000051280 00000154 00000020 00000000         R . . . B . .
pcache1Free                                  .text  00000000000513D8 00000138 00000018 00000000         R . . . B . .
pcache1AllocPage                             .text  0000000000051514 00000134 00000018 00000000         R . . . B . .
pcache1FreePage                              .text  0000000000051648 0000007C 00000018 00000000         R . . . B . .
sqlite3PageMalloc                            .text  00000000000516C4 00000028 00000010 00000000         R . . . B . .
sqlite3PageFree                              .text  00000000000516EC 00000024 00000010 00000000         R . . . B . .
pcache1UnderMemoryPressure                   .text  0000000000051710 00000064 00000010 00000000         R . . . B . .
pcache1ResizeHash                            .text  0000000000051778 00000174 00000030 00000000         R . . . B . .
pcache1PinPage                               .text  00000000000518EC 00000078 00000010 00000000         R . . . B . .
pcache1RemoveFromHash                        .text  0000000000051964 000000CC 00000020 00000000         R . . . B . .
pcache1EnforceMaxPage                        .text  0000000000051A30 000000BC 00000018 00000000         R . . . B . .
pcache1TruncateUnsafe                        .text  0000000000051AEC 0000017C 00000020 00000000         R . . . B . .
pcache1Init                                  .text  0000000000051C68 00000104 00000010 00000000         R . . . B . .
pcache1Shutdown                              .text  0000000000051D74 0000002C 00000010 00000000         R . . . B . .
pcache1Create                                .text  0000000000051DA4 000001E4 00000030 00000000         R . . . B . .
pcache1Cachesize                             .text  0000000000051F90 000000C4 00000018 00000000         R . . . B . .
pcache1Shrink                                .text  0000000000052058 0000006C 00000020 00000000         R . . . B . .
pcache1Pagecount                             .text  00000000000520C4 00000038 00000018 00000000         R . . . B . .
pcache1FetchStage2                           .text  00000000000520FC 000002B8 00000030 00000000         R . . . B . .
pcache1FetchNoMutex                          .text  00000000000523B4 000000F4 00000028 00000000         R . . . B . .
pcache1Fetch                                 .text  00000000000524A8 00000038 00000018 00000000         R . . . B . .
pcache1Unpin                                 .text  00000000000524E0 000000D0 00000028 00000000         R . . . B . .
pcache1Rekey                                 .text  00000000000525B0 00000130 00000028 00000000         R . . . B . .
pcache1Truncate                              .text  00000000000526E0 00000058 00000018 00000000         R . . . B . .
pcache1Destroy                               .text  0000000000052738 000000D4 00000018 00000000         R . . . B . .
sqlite3PCacheSetDefault                      .text  000000000005280C 0000001C 00000008 00000000         R . . . B . .
sqlite3HeaderSizePcache1                     .text  000000000005282C 0000001C 00000004 00000000         R . . . B . .
sqlite3Pcache1Mutex                          .text  0000000000052848 00000020 00000004 00000000         R . . . B . .
sqlite3RowSetInit                            .text  000000000005286C 000000D0 00000018 00000000         R . . . B . .
sqlite3RowSetClear                           .text  000000000005293C 000000B0 00000020 00000000         R . . . B . .
sqlite3RowSetDelete                          .text  00000000000529EC 00000038 00000010 00000000         R . . . B . .
rowSetEntryAlloc                             .text  0000000000052A24 000000C8 00000018 00000000         R . . . B . .
sqlite3RowSetInsert                          .text  0000000000052AEC 000000D4 00000028 00000000         R . . . B . .
rowSetEntryMerge                             .text  0000000000052BC0 00000104 00000038 00000000         R . . . B . .
rowSetEntrySort                              .text  0000000000052CC8 000001AC 000000C0 00000000         R . . . B . .
rowSetTreeToList                             .text  0000000000052E78 000000C8 00000020 00000000         R . . . B . .
rowSetNDeepTree                              .text  0000000000052F44 000000F8 00000018 00000000         R . . . B . .
rowSetListToTree                             .text  000000000005303C 000000B8 00000020 00000000         R . . . B . .
sqlite3RowSetNext                            .text  00000000000530F4 000000DC 00000018 00000000         R . . . B . .
sqlite3RowSetTest                            .text  00000000000531D0 00000280 00000038 00000000         R . . . B . .
setGetterMethod                              .text  0000000000053454 0000006C 00000010 00000000         R . . . B . .
subjRequiresPage                             .text  00000000000534CC 000000C4 00000020 00000000         R . . . B . .
read32bits                                   .text  0000000000053590 00000098 00000038 00000004         R . . . B . .
write32bits                                  .text  000000000005362C 00000078 00000030 00000004         R . . . B . .
pagerUnlockDb                                .text  00000000000536A8 00000094 00000018 00000000         R . . . B . .
pagerLockDb                                  .text  000000000005373C 000000C0 00000018 00000000         R . . . B . .
jrnlBufferSize                               .text  00000000000537FC 00000024 00000010 00000000         R . . . B . .
readMasterJournal                            .text  0000000000053820 00000250 00000050 00000000         R . . . B . .
journalHdrOffset                             .text  0000000000053A78 000000CC 00000030 00000000         R . . . B . .
zeroJournalHdr                               .text  0000000000053B44 0000019C 00000040 00000000         R . . . B . .
writeJournalHdr                              .text  0000000000053CE8 000002D4 00000038 00000000         R . . . B . .
readJournalHdr                               .text  0000000000053FC0 00000390 00000058 00000008         R . . . B . .
writeMasterJournal                           .text  0000000000054358 00000340 00000048 00000000         R . . . B . .
pager_reset                                  .text  00000000000546A4 00000050 00000010 00000000         R . . . B . .
sqlite3PagerDataVersion                      .text  00000000000546F4 00000028 00000010 00000000         R . . . B . .
releaseAllSavepoints                         .text  000000000005471C 000000E4 00000018 00000000         R . . . B . .
addToSavepointBitvecs                        .text  0000000000054800 000000B4 00000020 00000000         R . . . B . .
pager_unlock                                 .text  00000000000548B4 0000021C 00000028 00000000         R . . . B . .
pager_error                                  .text  0000000000054AD0 00000068 00000018 00000000         R . . . B . .
pagerFlushOnCommit                           .text  0000000000054B38 0000008C 00000010 00000000         R . . . B . .
pager_end_transaction                        .text  0000000000054BC4 00000408 00000030 00000000         R . . . B . .
pagerUnlockAndRollback                       .text  0000000000054FCC 00000088 00000010 00000000         R . . . B . .
pager_cksum                                  .text  0000000000055054 00000080 00000018 00000000         R . . . B . .
pager_playback_one_page                      .text  00000000000550D4 00000554 00000060 00000004         R . . . B . .
pager_delmaster                              .text  0000000000055630 00000364 00000060 00000000         R . . . B . .
pager_truncate                               .text  00000000000559A0 000001EC 00000050 00000000         R . . . B . .
sqlite3SectorSize                            .text  0000000000055B90 00000058 00000018 00000000         R . . . B . .
setSectorSize                                .text  0000000000055BE8 0000007C 00000010 00000000         R . . . B . .
pager_playback                               .text  0000000000055C64 00000520 00000058 00000000         R . . . B . .
readDbPage                                   .text  0000000000056194 000001C8 00000048 00000000         R . . . B . .
pager_write_changecounter                    .text  0000000000056364 00000084 00000018 00000000         R . . . B . .
pagerUndoCallback                            .text  00000000000563EC 000000B0 00000020 00000000         R . . . B . .
pagerRollbackWal                             .text  000000000005649C 000000A8 00000020 00000000         R . . . B . .
pagerWalFrames                               .text  0000000000056548 0000017C 00000030 00000000         R . . . B . .
pagerBeginReadTransaction                    .text  00000000000566C4 000000C8 00000028 00000000         R . . . B . .
pagerPagecount                               .text  0000000000056790 00000134 00000030 00000000         R . . . B . .
pagerOpenWalIfPresent                        .text  00000000000568C8 0000011C 00000020 00000000         R . . . B . .
pagerPlaybackSavepoint                       .text  00000000000569E8 00000444 00000060 00000000         R . . . B . .
sqlite3PagerSetCachesize                     .text  0000000000056E30 00000034 00000010 00000000         R . . . B . .
sqlite3PagerSetSpillsize                     .text  0000000000056E64 00000038 00000010 00000000         R . . . B . .
pagerFixMaplimit                             .text  0000000000056E9C 000000CC 00000030 00000000         R . . . B . .
sqlite3PagerSetMmapLimit                     .text  0000000000056F6C 00000040 00000020 00000000         R . . . B . .
sqlite3PagerShrink                           .text  0000000000056FAC 0000002C 00000010 00000000         R . . . B . .
sqlite3PagerSetFlags                         .text  0000000000056FD8 000001D8 00000018 00000000         R . . . B . .
pagerOpentemp                                .text  00000000000571B0 00000058 00000028 00000000         R . . . B . .
sqlite3PagerSetBusyHandler                   .text  0000000000057208 00000060 00000020 00000000         R . . . B . .
sqlite3PagerSetPagesize                      .text  0000000000057268 00000258 00000040 00000000         R . . . B . .
sqlite3PagerTempSpace                        .text  00000000000574C4 00000028 00000010 00000000         R . . . B . .
sqlite3PagerMaxPageCount                     .text  00000000000574EC 00000044 00000010 00000000         R . . . B . .
sqlite3PagerReadFileheader                   .text  0000000000057530 00000094 00000030 00000000         R . . . B . .
sqlite3PagerPagecount                        .text  00000000000575C8 00000038 00000010 00000000         R . . . B . .
pager_wait_on_lock                           .text  0000000000057600 00000064 00000018 00000000         R . . . B . .
sqlite3PagerTruncateImage                    .text  0000000000057664 00000030 00000010 00000000         R . . . B . .
pagerSyncHotJournal                          .text  0000000000057694 0000007C 00000018 00000000         R . . . B . .
pagerAcquireMapPage                          .text  0000000000057710 00000180 00000038 00000000         R . . . B . .
pagerReleaseMapPage                          .text  0000000000057890 000000B4 00000030 00000000         R . . . B . .
pagerFreeMapHdrs                             .text  0000000000057944 00000054 00000018 00000000         R . . . B . .
databaseIsUnmoved                            .text  0000000000057998 000000D0 00000020 00000000         R . . . B . .
sqlite3PagerClose                            .text  0000000000057A70 00000178 00000028 00000000         R . . . B . .
sqlite3PagerRef                              .text  0000000000057BE8 00000024 00000010 00000000         R . . . B . .
syncJournal                                  .text  0000000000057C0C 0000032C 00000048 00000000         R . . . B . .
pager_write_pagelist                         .text  0000000000057F48 0000029C 00000050 00000000         R . . . B . .
openSubJournal                               .text  00000000000581E8 000000A0 00000028 00000000         R . . . B . .
subjournalPage                               .text  0000000000058290 00000158 00000040 00000000         R . . . B . .
subjournalPageIfRequired                     .text  00000000000583E8 00000044 00000010 00000000         R . . . B . .
pagerStress                                  .text  000000000005842C 00000160 00000018 00000000         R . . . B . .
sqlite3PagerFlush                            .text  000000000005858C 000000A0 00000020 00000000         R . . . B . .
sqlite3PagerOpen                             .text  000000000005862C 000008B4 00000078 0000000C         R . . . B . .
hasHotJournal                                .text  0000000000058EFC 0000028C 00000040 00000000         R . . . B . .
sqlite3PagerSharedLock                       .text  0000000000059194 000003F4 00000050 00000000         R . . . B . .
pagerUnlockIfUnused                          .text  0000000000059598 00000040 00000010 00000000         R . . . B . .
getPageNormal                                .text  00000000000595D8 000002EC 00000030 00000000         R . . . B . .
getPageMMap                                  .text  00000000000598D4 000002C4 00000048 00000000         R . . . B . .
getPageError                                 .text  0000000000059BA0 00000040 00000018 00000000         R . . . B . .
sqlite3PagerGet                              .text  0000000000059BE0 00000048 00000020 00000000         R . . . B . .
sqlite3PagerLookup                           .text  0000000000059C28 0000006C 00000018 00000000         R . . . B . .
sqlite3PagerUnrefNotNull                     .text  0000000000059C94 00000044 00000010 00000000         R . . . B . .
sqlite3PagerUnref                            .text  0000000000059CD8 00000030 00000010 00000000         R . . . B . .
sqlite3PagerUnrefPageOne                     .text  0000000000059D08 00000038 00000018 00000000         R . . . B . .
pager_open_journal                           .text  0000000000059D40 000001FC 00000030 00000000         R . . . B . .
sqlite3PagerBegin                            .text  0000000000059F40 00000190 00000028 00000000         R . . . B . .
pagerAddPageToRollbackJournal                .text  000000000005A0D0 000001DC 00000038 00000000         R . . . B . .
pager_write                                  .text  000000000005A2AC 00000168 00000018 00000000         R . . . B . .
pagerWriteLargeSector                        .text  000000000005A414 0000033C 00000040 00000000         R . . . B . .
sqlite3PagerWrite                            .text  000000000005A758 000000CC 00000018 00000000         R . . . B . .
sqlite3PagerDontWrite                        .text  000000000005A824 00000098 00000018 00000000         R . . . B . .
pager_incr_changecounter                     .text  000000000005A8BC 000000D4 00000020 00000000         R . . . B . .
sqlite3PagerSync                             .text  000000000005A994 000000A0 00000018 00000000         R . . . B . .
sqlite3PagerExclusiveLock                    .text  000000000005AA34 00000058 00000018 00000000         R . . . B . .
sqlite3PagerCommitPhaseOne                   .text  000000000005AA8C 00000308 00000038 00000000         R . . . B . .
sqlite3PagerCommitPhaseTwo                   .text  000000000005AD9C 000000C4 00000018 00000000         R . . . B . .
sqlite3PagerRollback                         .text  000000000005AE60 00000160 00000020 00000000         R . . . B . .
sqlite3PagerIsreadonly                       .text  000000000005AFC0 00000028 00000010 00000000         R . . . B . .
sqlite3PagerMemUsed                          .text  000000000005AFE8 00000070 00000020 00000000         R . . . B . .
sqlite3PagerPageRefcount                     .text  000000000005B058 00000028 00000010 00000000         R . . . B . .
sqlite3PagerCacheStat                        .text  000000000005B080 0000007C 00000018 00000000         R . . . B . .
sqlite3PagerIsMemdb                          .text  000000000005B0FC 00000028 00000010 00000000         R . . . B . .
pagerOpenSavepoint                           .text  000000000005B124 000002A8 00000028 00000000         R . . . B . .
sqlite3PagerOpenSavepoint                    .text  000000000005B3CC 0000005C 00000010 00000000         R . . . B . .
sqlite3PagerSavepoint                        .text  000000000005B428 000001C0 00000028 00000000         R . . . B . .
sqlite3PagerFilename                         .text  000000000005B5E8 00000050 00000010 00000000         R . . . B . .
sqlite3PagerVfs                              .text  000000000005B63C 00000028 00000010 00000000         R . . . B . .
sqlite3PagerFile                             .text  000000000005B664 00000028 00000010 00000000         R . . . B . .
sqlite3PagerJrnlFile                         .text  000000000005B68C 0000004C 00000010 00000000         R . . . B . .
sqlite3PagerJournalname                      .text  000000000005B6D8 00000028 00000010 00000000         R . . . B . .
sqlite3PagerMovepage                         .text  000000000005B700 00000288 00000030 00000000         R . . . B . .
sqlite3PagerRekey                            .text  000000000005B98C 00000040 00000018 00000000         R . . . B . .
sqlite3PagerGetData                          .text  000000000005B9CC 00000028 00000010 00000000         R . . . B . .
sqlite3PagerGetExtra                         .text  000000000005B9F4 00000028 00000010 00000000         R . . . B . .
sqlite3PagerLockingMode                      .text  000000000005BA1C 00000070 00000010 00000000         R . . . B . .
sqlite3PagerSetJournalMode                   .text  000000000005BA8C 000001CC 00000020 00000000         R . . . B . .
sqlite3PagerGetJournalMode                   .text  000000000005BC58 00000028 00000010 00000000         R . . . B . .
sqlite3PagerOkToChangeJournalMode            .text  000000000005BC80 00000070 00000010 00000000         R . . . B . .
sqlite3PagerJournalSizeLimit                 .text  000000000005BCF0 0000007C 00000020 00000000         R . . . B . .
sqlite3PagerBackupPtr                        .text  000000000005BD6C 00000028 00000010 00000000         R . . . B . .
sqlite3PagerClearCache                       .text  000000000005BD94 00000034 00000010 00000000         R . . . B . .
sqlite3PagerCheckpoint                       .text  000000000005BDC8 000000C4 00000040 00000004         R . . . B . .
sqlite3PagerWalCallback                      .text  000000000005BE8C 00000030 00000010 00000000         R . . . B . .
sqlite3PagerWalSupported                     .text  000000000005BEBC 00000088 00000018 00000000         R . . . B . .
pagerExclusiveLock                           .text  000000000005BF44 00000048 00000018 00000000         R . . . B . .
pagerOpenWal                                 .text  000000000005BF8C 000000A8 00000030 00000000         R . . . B . .
sqlite3PagerOpenWal                          .text  000000000005C034 000000B8 00000018 00000000         R . . . B . .
sqlite3PagerCloseWal                         .text  000000000005C0EC 00000174 00000028 00000000         R . . . B . .
walIndexPageRealloc                          .text  000000000005C264 000001EC 00000038 00000000         R . . . B . .
walIndexPage                                 .text  000000000005C450 00000084 00000018 00000000         R . . . B . .
walCkptInfo                                  .text  000000000005C4D4 00000030 00000010 00000000         R . . . B . .
walIndexHdr                                  .text  000000000005C504 0000002C 00000010 00000000         R . . . B . .
walChecksumBytes                             .text  000000000005C530 000001DC 00000028 00000004         R . . . B . .
walShmBarrier                                .text  000000000005C70C 0000003C 00000010 00000000         R . . . B . .
walIndexWriteHdr                             .text  000000000005C748 000000A8 00000020 00000000         R . . . B . .
walEncodeFrame                               .text  000000000005C7F4 00000134 00000028 00000004         R . . . B . .
walDecodeFrame                               .text  000000000005C928 00000160 00000038 00000004         R . . . B . .
walLockShared                                .text  000000000005CA88 00000058 00000018 00000000         R . . . B . .
walUnlockShared                              .text  000000000005CAE0 0000004C 00000010 00000000         R . . . B . .
walLockExclusive                             .text  000000000005CB2C 0000005C 00000020 00000000         R . . . B . .
walUnlockExclusive                           .text  000000000005CB88 00000050 00000018 00000000         R . . . B . .
walHash                                      .text  000000000005CBD8 00000040 00000010 00000000         R . . . B . .
walNextHash                                  .text  000000000005CC18 00000030 00000010 00000000         R . . . B . .
walHashGet                                   .text  000000000005CC48 000000C4 00000020 00000000         R . . . B . .
walFramePage                                 .text  000000000005CD0C 00000034 00000018 00000000         R . . . B . .
walFramePgno                                 .text  000000000005CD40 00000094 00000018 00000000         R . . . B . .
