.init_proc                                   .init  0000000000011634 0000000C 00000008 FFFFFFFFFFFFFFF8 R . . . . . .
fputs                                        .plt   0000000000011AD4 0000000C                           R . . . . T .
strncmp                                      .plt   0000000000011AE0 0000000C                           R . . . . T .
fdatasync                                    .plt   0000000000011AEC 0000000C                           R . . . . T .
abort                                        .plt   0000000000011AF8 0000000C                           . . . . . T .
close                                        .plt   0000000000011B04 0000000C                           R . . . . T .
__lxstat64                                   .plt   0000000000011B10 0000000C                           R . . . . . .
dlsym                                        .plt   0000000000011B1C 0000000C                           R . . . . T .
closedir                                     .plt   0000000000011B28 0000000C                           R . . . . T .
pthread_mutexattr_destroy                    .plt   0000000000011B34 0000000C                           R . . . . T .
__assert_fail                                .plt   0000000000011B40 0000000C                           . . . . . T .
fchmod                                       .plt   0000000000011B4C 0000000C                           R . . . . T .
pclose                                       .plt   0000000000011B58 0000000C                           R . . . . T .
call_weak_fn                                 .text  0000000000011BA4 0000001C                           R . . . . . .
deregister_tm_clones                         .text  0000000000011BC8 00000024                           R . . . . . .
register_tm_clones                           .text  0000000000011BF8 0000002C                           R . . . . . .
__do_global_dtors_aux                        .text  0000000000011C30 00000024 00000008 FFFFFFFFFFFFFFF8 R . . . . . .
frame_dummy                                  .text  0000000000011C58 00000030                           R . . . . . .
timeOfDay                                    .text  0000000000011C90 00000110 00000028 00000000         R . . . B . .
beginTimer                                   .text  0000000000011DAC 00000040 00000010 00000000         R . . . B . .
timeDiff                                     .text  0000000000011DF8 00000094 00000018 00000000         R . . . B . .
endTimer                                     .text  0000000000011E94 000000F8 00000080 00000000         R . . . B . .
shell_out_of_memory                          .text  0000000000011FAC 00000028 00000008 00000000         . . . . B . .
utf8_width_print                             .text  0000000000011FDC 00000190 00000418 00000000         R . . . B . .
isNumber                                     .text  0000000000012184 00000274 00000010 00000000         R . . . B . .
strlen30                                     .text  00000000000123F8 00000058 00000018 00000000         R . . . B . .
strlenChar                                   .text  0000000000012450 0000006C 00000018 00000000         R . . . B . .
local_getline                                .text  00000000000124BC 00000194 00000018 00000000         R . . . B . .
one_input_line                               .text  0000000000012650 00000098 00000020 00000000         R . . . B . .
hexDigitValue                                .text  00000000000126FC 00000094 00000010 00000000         R . . . B . .
integerValue                                 .text  0000000000012790 00000264 00000030 00000000         R . . . B . .
initText                                     .text  00000000000129F8 0000002C 00000010 00000000         R . . . B . .
freeText                                     .text  0000000000012A24 00000034 00000010 00000000         R . . . B . .
appendText                                   .text  0000000000012A58 00000274 00000028 00000000         R . . . B . .
quoteChar                                    .text  0000000000012CCC 00000108 00000018 00000000         R . . . B . .
shellFakeSchema                              .text  0000000000012DD4 00000214 00000048 00000000         R . . . B . .
shellModuleSchema                            .text  0000000000013008 0000008C 00000020 00000000         R . . . B . .
shellAddSchemaName                           .text  000000000001309C 00000294 00000048 00000000         R . . . B . .
KeccakF1600Step                              .text  0000000000013350 00004414 00000438 00000000         R . . . B . .
SHA3Init                                     .text  0000000000017764 0000008C 00000010 00000000         R . . . B . .
SHA3Update                                   .text  00000000000177F0 00000190 00000028 00000000         R . . . B . .
SHA3Final                                    .text  0000000000017980 00000134 00000020 00000000         R . . . B . .
sha3Func                                     .text  0000000000017AB8 000001B8 00000680 00000000         R . . . B . .
hash_step_vformat                            .text  0000000000017C78 00000098 00000060 00000000         R . . . B . .
sha3QueryFunc                                .text  0000000000017D14 00000588 000006E8 00000000         R . . . B . .
sqlite3_shathree_init                        .text  00000000000182C0 00000134 00000030 00000000         R . . . B . .
readFileContents                             .text  0000000000018404 000000C4 00000020 00000000         R . . . B . .
readfileFunc                                 .text  00000000000184D0 00000054 00000020 00000000         R . . . B . .
ctxErrorMsg                                  .text  0000000000018524 0000008C 00000030 00000000         R . . . B . .
fileStat                                     .text  00000000000185B4 00000030 00000010 00000000         R . . . B . .
fileLinkStat                                 .text  00000000000185E4 00000030 00000010 00000000         R . . . B . .
makeDirectory                                .text  0000000000018614 00000190 00000098 00000000         R . . . B . .
writeFile                                    .text  00000000000187AC 000002C8 000000C0 00000004         R . . . B . .
writefileFunc                                .text  0000000000018A7C 000001DC 00000040 00000000         R . . . B . .
lsModeFunc                                   .text  0000000000018C68 000001AC 00000040 00000000         R . . . B . .
fsdirConnect                                 .text  0000000000018E18 0000008C 00000020 00000004         R . . . B . .
fsdirDisconnect                              .text  0000000000018EA8 00000028 00000010 00000000         R . . . B . .
fsdirOpen                                    .text  0000000000018ED0 0000006C 00000018 00000000         R . . . B . .
fsdirResetCursor                             .text  0000000000018F3C 0000010C 00000020 00000000         R . . . B . .
fsdirClose                                   .text  0000000000019048 00000038 00000018 00000000         R . . . B . .
fsdirSetErrmsg                               .text  0000000000019080 00000078 00000028 00000000         R . . . B . .
fsdirNext                                    .text  00000000000190FC 00000340 00000040 00000000         R . . . B . .
fsdirColumn                                  .text  0000000000019448 000001E8 00000078 00000000         R . . . B . .
fsdirRowid                                   .text  0000000000019634 00000044 00000018 00000000         R . . . B . .
fsdirEof                                     .text  0000000000019678 00000040 00000018 00000000         R . . . B . .
fsdirFilter                                  .text  00000000000196B8 000001D0 00000020 00000004         R . . . B . .
fsdirBestIndex                               .text  00000000000198AC 00000254 00000028 00000000         R . . . B . .
fsdirRegister                                .text  0000000000019B08 00000038 00000018 00000000         R . . . B . .
sqlite3_fileio_init                          .text  0000000000019B48 00000108 00000030 00000000         R . . . B . .
completionConnect                            .text  0000000000019C68 00000090 00000020 00000004         R . . . B . .
completionDisconnect                         .text  0000000000019CFC 00000028 00000010 00000000         R . . . B . .
completionOpen                               .text  0000000000019D24 00000070 00000018 00000000         R . . . B . .
completionCursorReset                        .text  0000000000019D94 00000094 00000010 00000000         R . . . B . .
completionClose                              .text  0000000000019E28 00000030 00000010 00000000         R . . . B . .
completionNext                               .text  0000000000019E58 0000048C 00000050 00000000         R . . . B . .
completionColumn                             .text  000000000001A2FC 000000C0 00000020 00000000         R . . . B . .
completionRowid                              .text  000000000001A3BC 00000044 00000018 00000000         R . . . B . .
completionEof                                .text  000000000001A400 00000040 00000018 00000000         R . . . B . .
completionFilter                             .text  000000000001A440 000002B8 00000030 00000004         R . . . B . .
completionBestIndex                          .text  000000000001A700 00000238 00000030 00000000         R . . . B . .
sqlite3CompletionVtabInit                    .text  000000000001A93C 00000040 00000018 00000000         R . . . B . .
sqlite3_completion_init                      .text  000000000001A984 0000003C 00000020 00000000         R . . . B . .
apndClose                                    .text  000000000001A9C0 00000040 00000010 00000000         R . . . B . .
apndRead                                     .text  000000000001AA00 00000074 00000030 00000000         R . . . B . .
apndWriteMark                                .text  000000000001AA74 000000F8 00000048 00000000         R . . . B . .
apndWrite                                    .text  000000000001AB74 00000200 00000040 00000000         R . . . B . .
apndTruncate                                 .text  000000000001AD7C 000000C4 00000028 00000000         R . . . B . .
apndSync                                     .text  000000000001AE40 00000048 00000010 00000000         R . . . B . .
apndFileSize                                 .text  000000000001AE88 000000A0 00000020 00000000         R . . . B . .
apndLock                                     .text  000000000001AF28 00000048 00000010 00000000         R . . . B . .
apndUnlock                                   .text  000000000001AF70 00000048 00000010 00000000         R . . . B . .
apndCheckReservedLock                        .text  000000000001AFB8 00000048 00000010 00000000         R . . . B . .
apndFileControl                              .text  000000000001B000 000000A8 00000030 00000000         R . . . B . .
apndSectorSize                               .text  000000000001B0AC 00000040 00000010 00000000         R . . . B . .
apndDeviceCharacteristics                    .text  000000000001B0EC 00000040 00000010 00000000         R . . . B . .
apndShmMap                                   .text  000000000001B12C 00000060 00000028 00000004         R . . . B . .
apndShmLock                                  .text  000000000001B18C 00000058 00000020 00000000         R . . . B . .
apndShmBarrier                               .text  000000000001B1E4 0000003C 00000010 00000000         R . . . B . .
apndShmUnmap                                 .text  000000000001B220 00000048 00000010 00000000         R . . . B . .
apndFetch                                    .text  000000000001B268 00000084 00000030 00000008         R . . . B . .
apndUnfetch                                  .text  000000000001B2EC 0000007C 00000030 00000004         R . . . B . .
apndIsOrdinaryDatabaseFile                   .text  000000000001B368 000000D4 00000040 00000000         R . . . B . .
apndReadMark                                 .text  000000000001B448 00000194 00000068 00000000         R . . . B . .
apndOpen                                     .text  000000000001B5E4 0000026C 00000050 00000004         R . . . B . .
apndDelete                                   .text  000000000001B860 00000048 00000018 00000000         R . . . B . .
apndAccess                                   .text  000000000001B8A8 00000050 00000020 00000000         R . . . B . .
apndFullPathname                             .text  000000000001B8F8 00000050 00000020 00000000         R . . . B . .
apndDlOpen                                   .text  000000000001B948 00000044 00000010 00000000         R . . . B . .
apndDlError                                  .text  000000000001B98C 00000044 00000018 00000000         R . . . B . .
apndDlSym                                    .text  000000000001B9D0 00000048 00000018 00000000         R . . . B . .
apndDlClose                                  .text  000000000001BA18 00000040 00000010 00000000         R . . . B . .
apndRandomness                               .text  000000000001BA58 00000048 00000018 00000000         R . . . B . .
apndSleep                                    .text  000000000001BAA0 00000044 00000010 00000000         R . . . B . .
apndCurrentTime                              .text  000000000001BAE4 00000044 00000010 00000000         R . . . B . .
apndGetLastError                             .text  000000000001BB28 00000048 00000018 00000000         R . . . B . .
apndCurrentTimeInt64                         .text  000000000001BB70 00000044 00000010 00000000         R . . . B . .
apndSetSystemCall                            .text  000000000001BBB4 00000048 00000018 00000000         R . . . B . .
apndGetSystemCall                            .text  000000000001BBFC 00000044 00000010 00000000         R . . . B . .
apndNextSystemCall                           .text  000000000001BC40 00000044 00000010 00000000         R . . . B . .
sqlite3_appendvfs_init                       .text  000000000001BC84 00000094 00000020 00000000         R . . . B . .
idxMalloc                                    .text  000000000001BD1C 000000A4 00000018 00000000         R . . . B . .
idxHashInit                                  .text  000000000001BDD8 0000002C 00000010 00000000         R . . . B . .
idxHashClear                                 .text  000000000001BE04 000000A8 00000020 00000000         R . . . B . .
idxHashString                                .text  000000000001BEB0 000000AC 00000018 00000000         R . . . B . .
idxHashAdd                                   .text  000000000001BF60 000001F8 00000028 00000000         R . . . B . .
idxHashFind                                  .text  000000000001C168 000000F8 00000020 00000000         R . . . B . .
idxHashSearch                                .text  000000000001C270 00000054 00000020 00000000         R . . . B . .
idxNewConstraint                             .text  000000000001C2C4 000000B8 00000018 00000000         R . . . B . .
idxDatabaseError                             .text  000000000001C38C 00000044 00000010 00000000         R . . . B . .
idxPrepareStmt                               .text  000000000001C3D4 00000070 00000028 00000000         R . . . B . .
idxPrintfPrepareStmt                         .text  000000000001C444 000000B0 00000030 00000000         R . . . B . .
expertDequote                                .text  000000000001C4F8 0000016C 00000020 00000000         R . . . B . .
expertConnect                                .text  000000000001C684 00000180 00000038 00000008         R . . . B . .
expertDisconnect                             .text  000000000001C81C 00000030 00000018 00000000         R . . . B . .
expertBestIndex                              .text  000000000001C84C 00000384 00000048 00000000         R . . . B . .
expertUpdate                                 .text  000000000001CBD8 00000030 00000018 00000000         R . . . B . .
expertOpen                                   .text  000000000001CC08 00000070 00000020 00000000         R . . . B . .
expertClose                                  .text  000000000001CC7C 00000040 00000018 00000000         R . . . B . .
expertEof                                    .text  000000000001CCBC 00000040 00000018 00000000         R . . . B . .
expertNext                                   .text  000000000001CCFC 000000A0 00000018 00000000         R . . . B . .
expertRowid                                  .text  000000000001CDAC 00000038 00000010 00000000         R . . . B . .
expertColumn                                 .text  000000000001CDE4 00000060 00000020 00000000         R . . . B . .
expertFilter                                 .text  000000000001CE44 000000C4 00000030 00000000         R . . . B . .
idxRegisterVtab                              .text  000000000001CF0C 00000038 00000010 00000000         R . . . B . .
idxFinalize                                  .text  000000000001CF4C 00000048 00000018 00000000         R . . . B . .
idxGetTableInfo                              .text  000000000001CF94 00000448 00000068 00000000         R . . . B . .
idxAppendText                                .text  000000000001D3E8 00000180 00000038 00000000         R . . . B . .
idxIdentifierRequiresQuotes                  .text  000000000001D56C 00000104 00000018 00000000         R . . . B . .
idxAppendColDefn                             .text  000000000001D670 0000017C 00000020 00000000         R . . . B . .
