_init_proc                           .init    000000000001B1DC 00000023 0000000C 00000000 R . . . . . .
print_index_and_element              .text    0000000000046A30 000000F9 0000004C 0000000C R . . . B . .
indent_0                             .text    0000000000046B30 000000E3 0000003C 00000008 R . . . B . .
execute_while_or_until               .text    0000000000046C20 0000023C 0000002C 00000008 R . . . B . .
execute_cond_node                    .text    0000000000046E60 0000065B 0000008C 00000004 R . . . B . .
bind_lastarg                         .text    00000000000474C0 00000070 0000002C 00000004 R . . . B . .
fix_assignment_words                 .text    0000000000047530 0000021D 0000003C 00000004 R . . . B . .
execute_null_command                 .text    0000000000047750 0000022E 0000005C 00000010 R . . . B . .
execute_subshell_builtin_or_function .text    0000000000047980 00000373 000000AC 00000024 . . . . B . .
execute_builtin_or_function          .text    0000000000047D00 000003A1 0000008C 00000018 R . . . B . .
builtin_status                       .text    00000000000480B0 0000007A 0000001C 00000004 R . . . B . .
is_dirname                           .text    0000000000048130 00000066 0000001C 00000004 R . . . B . .
execute_disk_command                 .text    00000000000481A0 000004F2 0000009C 00000020 R . . . B . .
execute_builtin                      .text    00000000000486A0 0000049C 0000007C 00000010 R . . . B . .
initialize_shell_variables           .text    0000000000048B40 0000095B 000000BC 00000008 R . . . B . .
create_variable_tables               .text    00000000000494A0 000000E8 0000002C 00000000 R . . . B . .
find_function                        .text    0000000000049590 00000038 0000001C 00000004 R . . . B . .
bind_variable                        .text    00000000000495D0 00000167 0000004C 0000000C R . . . B . .
set_pwd                              .text    0000000000049740 0000027B 0000004C 00000000 R . . . B . .
set_if_not                           .text    00000000000499C0 000000A7 0000003C 00000008 R . . . B . .
set_machine_vars                     .text    0000000000049A70 0000009B 0000001C 00000000 R . . . B . .
initialize_shell_level               .text    0000000000049B10 0000002F 0000001C 00000000 R . . . B . .
set_ppid                             .text    0000000000049B40 000000B1 0000003C 00000000 R . . . B . .
set_home_var                         .text    0000000000049C00 00000066 0000002C 00000000 R . . . B . .
get_bash_name                        .text    0000000000049C70 0000047A 0000008C 00000000 R . . . B . .
set_shell_var                        .text    000000000004A0F0 00000086 0000002C 00000000 R . . . B . .
make_vers_array                      .text    000000000004A180 00000208 0000008C 00000000 R . . . B . .
find_variable                        .text    000000000004A390 00000087 0000002C 00000004 R . . . B . .
sv_strict_posix                      .text    000000000004A420 00000081 0000001C 00000004 R . . . B . .
seedrand                             .text    000000000004A4B0 0000005A 0000002C 00000000 R . . . B . .
sv_ignoreeof                         .text    000000000004A510 000000E6 0000002C 00000004 R . . . B . .
sv_history_control                   .text    000000000004A600 000001FF 0000003C 00000004 R . . . B . .
sv_histignore                        .text    000000000004A800 0000002C 0000001C 00000004 R . . . B . .
sv_histtimefmt                       .text    000000000004A830 0000004A 0000001C 00000004 R . . . B . .
uidset                               .text    000000000004A880 00000134 0000004C 00000000 R . . . B . .
sv_xtracefd                          .text    000000000004A9C0 0000017B 0000003C 00000004 R . . . B . .
initialize_dynamic_variables         .text    000000000004AB40 00000422 0000006C 00000000 R . . . B . .
sh_get_home_dir                      .text    000000000004AF70 0000003E 0000000C 00000000 R . . . B . .
adjust_shell_level                   .text    000000000004AFB0 00000281 0000005C 00000004 R . . . B . .
get_string_value                     .text    000000000004B240 0000005F 0000001C 00000004 R . . . B . .
sh_set_lines_and_columns             .text    000000000004B2A0 000000DD 0000004C 00000008 R . . . B . .
print_var_list                       .text    000000000004B380 00000094 0000002C 00000004 R . . . B . .
print_assignment                     .text    000000000004B420 0000015B 0000003C 00000004 R . . . B . .
print_func_list                      .text    000000000004B580 000000B0 0000002C 00000004 R . . . B . .
print_var_function                   .text    000000000004B630 0000008F 0000002C 00000004 R . . . B . .
print_var_value                      .text    000000000004B6C0 0000019A 0000004C 00000008 R . . . B . .
get_random_number                    .text    000000000004B860 00000083 0000001C 00000000 R . . . B . .
brand                                .text    000000000004B8F0 00000088 0000001C 00000000 R . . . B . .
make_funcname_visible                .text    000000000004B980 0000007B 0000001C 00000004 R . . . B . .
var_lookup                           .text    000000000004BA00 0000007E 0000002C 00000008 R . . . B . .
hash_lookup                          .text    000000000004BA80 00000070 0000002C 00000008 R . . . B . .
find_variable_internal               .text    000000000004BAF0 00000129 0000003C 00000008 R . . . B . .
find_global_variable                 .text    000000000004BC20 00000089 0000002C 00000004 R . . . B . .
find_function_def                    .text    000000000004BCB0 00000038 0000001C 00000004 R . . . B . .
get_variable_value                   .text    000000000004BCF0 000000B5 0000002C 00000004 R . . . B . .
sh_get_env_value                     .text    000000000004BDB0 0000002C 0000001C 00000004 R . . . B . .
bind_variable_internal               .text    000000000004BDE0 00000549 0000009C 00000014 R . . . B . .
make_local_variable                  .text    000000000004C330 0000032C 0000004C 00000004 R . . . B . .
make_new_variable                    .text    000000000004C660 000000D8 0000003C 00000008 R . . . B . .
make_new_array_variable              .text    000000000004C740 00000064 0000002C 00000004 R . . . B . .
make_local_array_variable            .text    000000000004C7B0 00000090 0000002C 00000004 R . . . B . .
dispose_variable_value               .text    000000000004C840 000000EF 0000002C 00000004 R . . . B . .
make_new_assoc_variable              .text    000000000004C930 00000070 0000002C 00000004 R . . . B . .
make_local_assoc_variable            .text    000000000004C9A0 0000009C 0000002C 00000004 R . . . B . .
make_variable_value                  .text    000000000004CA40 000007C4 000000DC 0000000C R . . . B . .
bind_tempenv_variable                .text    000000000004D210 00000165 0000004C 00000008 R . . . B . .
bind_variable_value                  .text    000000000004D380 000001F7 0000004C 0000000C R . . . B . .
bind_int_variable                    .text    000000000004D580 0000012D 0000003C 00000008 R . . . B . .
bind_var_to_int                      .text    000000000004D6B0 0000008E 0000005C 0000000C R . . . B . .
bind_function                        .text    000000000004D740 000001F6 0000004C 00000008 R . . . B . .
new_shell_variable                   .text    000000000004D940 000000EE 0000003C 00000004 R . . . B . .
bind_function_def                    .text    000000000004DA30 00000128 0000004C 00000008 R . . . B . .
assign_in_env                        .text    000000000004DB60 000003E7 0000007C 00000008 R . . . B . .
mk_env_string                        .text    000000000004DF50 0000016A 0000004C 00000008 R . . . B . .
stupidly_hack_special_variables      .text    000000000004E0C0 000000AF 0000003C 00000004 R . . . B . .
dispose_variable                     .text    000000000004E170 00000110 0000002C 00000004 R . . . B . .
unbind_variable                      .text    000000000004E280 00000038 0000001C 00000004 R . . . B . .
makunbound                           .text    000000000004E2C0 00000477 0000007C 00000008 R . . . B . .
unbind_func                          .text    000000000004E740 0000011A 0000003C 00000004 R . . . B . .
unbind_function_def                  .text    000000000004E860 000000E5 0000003C 00000004 R . . . B . .
kill_all_local_variables             .text    000000000004E950 000000CC 0000001C 00000000 R . . . B . .
delete_all_variables                 .text    000000000004EA20 00000036 0000001C 00000004 R . . . B . .
free_variable_hash_data              .text    000000000004EA60 00000032 0000001C 00000004 R . . . B . .
set_var_read_only                    .text    000000000004EAA0 000000AA 0000002C 00000004 R . . . B . .
map_over                             .text    000000000004EB50 0000012C 0000004C 00000008 R . . . B . .
vlist_alloc                          .text    000000000004EC80 000000AF 0000003C 00000004 R . . . B . .
flatten                              .text    000000000004ED30 00000176 0000004C 00000010 R . . . B . .
map_over_funcs                       .text    000000000004EEB0 0000012B 0000004C 00000004 R . . . B . .
sort_variables                       .text    000000000004EFE0 00000065 0000002C 00000004 R . . . B . .
qsort_var_comp                       .text    000000000004F050 0000006D 0000002C 00000008 R . . . B . .
all_shell_variables                  .text    000000000004F0C0 0000002C 0000001C 00000000 R . . . B . .
vapply                               .text    000000000004F0F0 00000059 0000001C 00000004 R . . . B . .
all_shell_functions                  .text    000000000004F150 0000002C 0000001C 00000000 R . . . B . .
fapply                               .text    000000000004F180 0000004D 0000001C 00000004 R . . . B . .
all_visible_functions                .text    000000000004F1D0 00000027 00000008 00000000 R . . . B . .
visible_var                          .text    000000000004F200 00000026 00000008 00000004 R . . . B . .
all_visible_variables                .text    000000000004F230 00000027 00000008 00000000 R . . . B . .
all_exported_variables               .text    000000000004F260 00000027 00000008 00000000 R . . . B . .
visible_and_exported                 .text    000000000004F290 00000046 0000000C 00000004 R . . . B . .
local_exported_variables             .text    000000000004F2E0 00000027 00000008 00000000 R . . . B . .
local_and_exported                   .text    000000000004F310 00000091 00000018 00000004 R . . . B . .
all_local_variables                  .text    000000000004F3B0 000001D3 0000004C 00000000 R . . . B . .
variable_in_context                  .text    000000000004F590 00000076 00000014 00000004 R . . . B . .
all_array_variables                  .text    000000000004F610 00000027 00000008 00000000 R . . . B . .
visible_array_vars                   .text    000000000004F640 00000046 0000000C 00000004 R . . . B . .
all_variables_matching_prefix        .text    000000000004F690 0000028F 0000005C 00000004 R . . . B . .
find_tempenv_variable                .text    000000000004F920 00000062 0000001C 00000004 R . . . B . .
dispose_used_env_vars                .text    000000000004F990 00000046 0000001C 00000000 R . . . B . .
dispose_temporary_env                .text    000000000004F9E0 00000155 0000002C 00000004 R . . . B . .
propagate_temp_var                   .text    000000000004FB40 0000010C 0000003C 00000004 R . . . B . .
maybe_make_export_env                .text    000000000004FC50 0000028B 0000004C 00000000 R . . . B . .
merge_temporary_env                  .text    000000000004FEE0 0000003E 0000001C 00000000 R . . . B . .
push_temp_var                        .text    000000000004FF20 00000215 0000005C 00000004 R . . . B . .
add_or_supercede_exported_var        .text    0000000000050140 00000326 0000005C 00000008 R . . . B . .
n_shell_variables                    .text    0000000000050470 00000075 00000010 00000000 R . . . B . .
new_var_context                      .text    00000000000504F0 0000010F 0000004C 00000008 R . . . B . .
make_var_export_array                .text    0000000000050600 00000094 0000002C 00000004 R . . . B . .
add_temp_array_to_env                .text    00000000000506A0 000001DD 0000004C 0000000C R . . . B . .
make_func_export_array               .text    0000000000050880 00000087 0000002C 00000000 R . . . B . .
update_export_env_inplace            .text    0000000000050910 00000150 0000004C 0000000C R . . . B . .
put_command_name_into_env            .text    0000000000050A60 00000048 0000002C 00000004 R . . . B . .
dispose_var_context                  .text    0000000000050AB0 000000BA 0000002C 00000004 R . . . B . .
push_var_context                     .text    0000000000050B70 000000B5 0000003C 0000000C R . . . B . .
set_context                          .text    0000000000050C30 00000029 00000008 00000004 R . . . B . .
pop_var_context                      .text    0000000000050C60 000000ED 0000001C 00000000 R . . . B . .
push_func_var                        .text    0000000000050D50 00000188 0000003C 00000004 R . . . B . .
delete_all_contexts                  .text    0000000000050EE0 00000089 0000001C 00000004 R . . . B . .
push_scope                           .text    0000000000050F70 00000048 0000002C 00000008 R . . . B . .
pop_scope                            .text    0000000000050FC0 0000017C 0000003C 00000004 R . . . B . .
push_exported_var                    .text    0000000000051140 00000113 0000003C 00000004 R . . . B . .
sv_ifs                               .text    0000000000051260 00000043 0000001C 00000004 R . . . B . .
push_context                         .text    00000000000512B0 00000079 0000003C 0000000C R . . . B . .
push_dollar_vars                     .text    0000000000051330 000000B9 0000002C 00000000 R . . . B . .
pop_context                          .text    00000000000513F0 0000004D 0000001C 00000000 R . . . B . .
pop_dollar_vars                      .text    0000000000051440 000000B1 0000001C 00000000 R . . . B . .
dispose_saved_dollar_vars            .text    0000000000051500 00000070 0000001C 00000000 R . . . B . .
push_args                            .text    0000000000051570 000001A7 0000005C 00000004 R . . . B . .
pop_args                             .text    0000000000051720 000001AF 0000005C 00000000 R . . . B . .
sv_compare                           .text    00000000000518D0 00000065 0000002C 00000008 R . . . B . .
find_special_var                     .text    0000000000051940 000000CB 0000002C 00000004 R . . . B . .
reinit_special_variables             .text    0000000000051A10 00000052 0000001C 00000000 R . . . B . .
sv_comp_wordbreaks                   .text    0000000000051A70 00000044 0000001C 00000004 R . . . B . .
sv_globignore                        .text    0000000000051AC0 0000003F 0000001C 00000004 R . . . B . .
sv_opterr                            .text    0000000000051B00 0000007F 0000001C 00000004 R . . . B . .
sv_path                              .text    0000000000051B80 00000024 0000000C 00000004 R . . . B . .
sv_mail                              .text    0000000000051BB0 0000004F 0000001C 00000004 R . . . B . .
sv_funcnest                          .text    0000000000051C00 00000098 0000002C 00000004 R . . . B . .
sv_terminal                          .text    0000000000051CA0 00000064 0000001C 00000004 R . . . B . .
sv_hostfile                          .text    0000000000051D10 00000058 0000001C 00000004 R . . . B . .
sv_histsize_0                        .text    0000000000051D70 00000138 0000003C 00000004 R . . . B . .
sv_histchars                         .text    0000000000051EB0 000000C4 0000001C 00000004 R . . . B . .
sv_tz                                .text    0000000000051F80 00000024 0000000C 00000004 R . . . B . .
sv_optind                            .text    0000000000051FB0 00000094 0000001C 00000004 R . . . B . .
sv_locale                            .text    0000000000052050 00000086 0000002C 00000004 R . . . B . .
set_pipestatus_array                 .text    00000000000520E0 00000307 0000005C 00000008 R . . . B . .
save_pipestatus_array                .text    00000000000523F0 0000008C 0000002C 00000000 R . . . B . .
restore_pipestatus_array             .text    0000000000052480 00000085 0000001C 00000004 R . . . B . .
set_pipestatus_from_exit             .text    0000000000052510 0000004A 0000001C 00000004 R . . . B . .
sbrand                               .text    0000000000052560 0000002E 00000008 00000004 R . . . B . .
init_seconds_var                     .text    0000000000052590 000000EC 0000002C 00000000 R . . . B . .
get_bash_command                     .text    0000000000052680 00000126 0000003C 00000004 R . . . B . .
get_subshell                         .text    00000000000527B0 0000008D 0000002C 00000004 R . . . B . .
assign_subshell                      .text    0000000000052840 00000094 0000004C 00000014 R . . . B . .
get_random                           .text    00000000000528E0 000000A7 0000002C 00000004 R . . . B . .
assign_random                        .text    0000000000052990 0000009A 0000004C 00000014 R . . . B . .
get_lineno                           .text    0000000000052A30 00000090 0000002C 00000004 R . . . B . .
assign_lineno                        .text    0000000000052AC0 0000009C 0000004C 00000014 R . . . B . .
get_bashpid                          .text    0000000000052B60 0000009C 0000002C 00000004 R . . . B . .
null_assign                          .text    0000000000052C00 00000030 00000024 00000014 R . . . B . .
get_histcmd                          .text    0000000000052C30 0000008D 0000002C 00000004 R . . . B . .
get_comp_wordbreaks                  .text    0000000000052CC0 00000109 0000003C 00000004 R . . . B . .
assign_comp_wordbreaks               .text    0000000000052DD0 000000F9 0000004C 00000014 R . . . B . .
init_dynamic_array_var               .text    0000000000052ED0 000000A4 0000003C 00000010 R . . . B . .
get_dirstack                         .text    0000000000052F80 00000074 0000002C 00000004 R . . . B . .
assign_dirstack                      .text    0000000000053000 0000005F 0000003C 00000014 R . . . B . .
get_groupset                         .text    0000000000053060 000000AD 0000003C 00000004 R . . . B . .
null_array_assign                    .text    0000000000053110 00000030 00000024 00000014 R . . . B . .
get_self                             .text    0000000000053140 00000012 00000008 00000004 R . . . B . .
init_dynamic_assoc_var               .text    0000000000053160 000000A4 0000003C 00000010 R . . . B . .
get_hashcmd                          .text    0000000000053210 00000034 0000001C 00000004 R . . . B . .
assign_hashcmd                       .text    0000000000053250 00000076 0000004C 00000014 R . . . B . .
get_aliasvar                         .text    00000000000532D0 00000034 0000001C 00000004 R . . . B . .
assign_aliasvar                      .text    0000000000053310 00000060 0000003C 00000014 R . . . B . .
init_funcname_var                    .text    0000000000053370 00000092 0000001C 00000000 R . . . B . .
get_seconds                          .text    0000000000053410 000000C0 0000002C 00000004 R . . . B . .
assign_seconds                       .text    00000000000534D0 00000098 0000003C 00000014 R . . . B . .
build_hashcmd                        .text    0000000000053570 000001F9 0000005C 00000004 R . . . B . .
build_aliasvar                       .text    0000000000053770 000001FA 0000005C 00000004 R . . . B . .
get_funcname                         .text    0000000000053970 00000012 00000008 00000004 R . . . B . .
vlist_add                            .text    0000000000053990 00000114 0000002C 0000000C R . . . B . .
vlist_realloc                        .text    0000000000053AB0 000000B1 0000003C 00000008 R . . . B . .
export_environment_candidate         .text    0000000000053B70 00000066 0000000C 00000004 R . . . B . .
make_env_array_from_var_list         .text    0000000000053BE0 0000026F 0000005C 00000004 R . . . B . .
copy_word                            .text    0000000000053E50 00000040 0000001C 00000004 R . . . B . .
copy_word_list                       .text    0000000000053E90 0000009B 0000002C 00000004 R . . . B . .
copy_redirect                        .text    0000000000053F30 000001F0 0000006C 00000004 R . . . B . .
copy_redirects                       .text    0000000000054120 00000094 0000002C 00000004 R . . . B . .
copy_function_def_contents           .text    00000000000541C0 00000111 0000003C 00000008 R . . . B . .
copy_command                         .text    00000000000542E0 000002EE 0000004C 00000004 R . . . B . .
copy_function_def                    .text    00000000000545D0 00000074 0000003C 00000004 R . . . B . .
copy_for_command                     .text    0000000000054650 000000B7 0000003C 00000004 R . . . B . .
copy_arith_for_command               .text    0000000000054710 000000CE 0000003C 00000004 R . . . B . .
copy_group_command                   .text    00000000000547E0 00000073 0000003C 00000004 R . . . B . .
copy_subshell_command                .text    0000000000054860 0000007D 0000003C 00000004 R . . . B . .
copy_coproc_command                  .text    00000000000548E0 000000DA 0000003C 00000004 R . . . B . .
copy_case_command                    .text    00000000000549C0 000000A0 0000003C 00000004 R . . . B . .
copy_while_command                   .text    0000000000054A60 00000094 0000003C 00000004 R . . . B . .
copy_if_command                      .text    0000000000054B00 000000CC 0000003C 00000004 R . . . B . .
copy_arith_command                   .text    0000000000054BD0 00000089 0000003C 00000004 R . . . B . .
copy_cond_command                    .text    0000000000054C60 00000128 0000003C 00000004 R . . . B . .
copy_simple_command                  .text    0000000000054D90 000000C2 0000003C 00000004 R . . . B . .
copy_case_clauses                    .text    0000000000054E60 00000094 0000002C 00000004 R . . . B . .
copy_case_clause                     .text    0000000000054F00 00000096 0000003C 00000004 R . . . B . .
get_name_for_error                   .text    0000000000054FA0 00000126 0000002C 00000000 R . . . B . .
file_error                           .text    00000000000550D0 0000005A 0000002C 00000004 R . . . B . .
report_error                         .text    0000000000055130 000000B7 0000003C 00000005 R . . . B . .
programming_error                    .text    00000000000551F0 00000169 0000005C 00000005 . . . . B . .
error_prolog                         .text    0000000000055360 00000123 0000004C 00000004 R . . . B . .
fatal_error                          .text    0000000000055490 0000009C 0000003C 00000005 . . . . B . .
internal_error                       .text    0000000000055530 0000007F 0000003C 00000005 R . . . B . .
internal_warning                     .text    00000000000555B0 000000AE 0000003C 00000005 R . . . B . .
sys_error                            .text    0000000000055660 000000A4 0000003C 00000005 R . . . B . .
parser_error                         .text    0000000000055710 000002F4 0000008C 00000009 R . . . B . .
command_error                        .text    0000000000055A10 00000083 0000003C 00000010 . . . . B . .
command_errstr                       .text    0000000000055AA0 0000004A 0000001C 00000004 R . . . B . .
err_badarraysub                      .text    0000000000055AF0 00000058 0000002C 00000004 R . . . B . .
err_unboundvar                       .text    0000000000055B50 00000044 0000001C 00000004 R . . . B . .
err_readonly                         .text    0000000000055BA0 00000044 0000001C 00000004 R . . . B . .
evalexp                              .text    0000000000055BF0 00000205 000000FC 00000008 R . . . B . .
expr_unwind                          .text    0000000000055E00 00000168 0000003C 00000000 R . . . B . .
subexpr                              .text    0000000000055F70 00000291 0000004C 00000004 R . . . B . .
pushexp                              .text    0000000000056210 0000019E 0000003C 00000000 R . . . B . .
init_lvalue                          .text    00000000000563B0 00000041 00000008 00000004 R . . . B . .
readtok                              .text    0000000000056400 00000B41 000000CC 00000000 R . . . B . .
expcomma                             .text    0000000000056F50 0000005A 0000001C 00000000 R . . . B . .
evalerror                            .text    0000000000056FB0 00000177 0000005C 00000004 . . . . B . .
popexp                               .text    0000000000057130 00000124 0000002C 00000000 R . . . B . .
expr_streval                         .text    0000000000057260 00000292 0000007C 0000000C R . . . B . .
strlong                              .text    0000000000057500 00000338 0000006C 00000004 R . . . B . .
_is_arithop                          .text    0000000000057840 0000012E 00000040 00000004 R . . . B . .
_is_multiop                          .text    0000000000057970 00000055 00000018 00000004 R . . . B . .
expassign                            .text    00000000000579D0 00000559 000000AC 00000000 R . . . B . .
expcond                              .text    0000000000057F30 00000200 0000004C 00000000 R . . . B . .
expr_bind_array_element              .text    0000000000058130 0000016F 0000007C 00000010 R . . . B . .
expr_bind_variable                   .text    00000000000582A0 0000004D 0000002C 00000008 R . . . B . .
explor                               .text    00000000000582F0 000000F7 0000003C 00000000 R . . . B . .
expland                              .text    00000000000583F0 000000F9 0000003C 00000000 R . . . B . .
expbor                               .text    00000000000584F0 0000006A 0000002C 00000000 R . . . B . .
expbxor                              .text    0000000000058560 0000006A 0000002C 00000000 R . . . B . .
expband                              .text    00000000000585D0 0000006A 0000002C 00000000 R . . . B . .
exp5                                 .text    0000000000058640 000000F4 0000003C 00000000 R . . . B . .
exp4                                 .text    0000000000058740 00000185 0000004C 00000000 R . . . B . .
expshift                             .text    00000000000588D0 000000F5 0000003C 00000000 R . . . B . .
exp3                                 .text    00000000000589D0 000000D6 0000002C 00000000 R . . . B . .
exp2                                 .text    0000000000058AB0 00000193 0000004C 00000000 R . . . B . .
exppower                             .text    0000000000058C50 00000129 0000004C 00000000 R . . . B . .
exp1                                 .text    0000000000058D80 00000101 0000001C 00000000 R . . . B . .
exp0                                 .text    0000000000058E90 0000054D 000000AC 00000000 R . . . B . .
find_flag                            .text    00000000000593E0 0000008B 00000014 00000004 R . . . B . .
change_flag                          .text    0000000000059470 000001CE 0000004C 00000008 R . . . B . .
which_set_flags                      .text    0000000000059640 0000011F 0000003C 00000000 R . . . B . .
reset_shell_flags                    .text    0000000000059760 000001B8 00000054 00000000 R . . . B . .
initialize_flags                     .text    0000000000059920 00000096 00000014 00000000 R . . . B . .
init_job_stats                       .text    00000000000599C0 0000005F 0000002C 00000000 R . . . B . .
making_children                      .text    0000000000059A20 00000044 0000000C 00000000 R . . . B . .
start_pipeline                       .text    0000000000059A70 00000040 0000000C 00000000 R . . . B . .
stop_making_children                 .text    0000000000059AB0 0000001D 00000004 00000000 R . . . B . .
cleanup_the_pipeline                 .text    0000000000059AD0 0000012F 0000014C 00000000 R . . . B . .
discard_pipeline                     .text    0000000000059C00 000000C0 0000003C 00000004 R . . . B . .
save_pipeline                        .text    0000000000059CC0 00000058 0000000C 00000004 R . . . B . .
restore_pipeline                     .text    0000000000059D20 0000006A 0000002C 00000004 R . . . B . .
stop_pipeline                        .text    0000000000059D90 000008B5 0000019C 00000008 R . . . B . .
cleanup_dead_jobs                    .text    000000000005A650 0000015E 0000002C 00000000 R . . . B . .
compact_jobs_list                    .text    000000000005A7B0 000000C1 0000001C 00000004 R . . . B . .
job_working_directory                .text    000000000005A880 00000111 0000003C 00000000 R . . . B . .
setjstatus                           .text    000000000005A9A0 00000174 0000003C 00000004 R . . . B . .
reset_current                        .text    000000000005AB20 00000179 0000001C 00000000 R . . . B . .
maybe_give_terminal_to               .text    000000000005ACA0 000000C7 0000003C 0000000C R . . . B . .
delete_job                           .text    000000000005AD70 00000356 0000004C 00000008 R . . . B . .
find_last_proc                       .text    000000000005B0D0 00000199 0000015C 00000008 R . . . B . .
bgp_add                              .text    000000000005B270 000000B5 0000002C 00000008 R . . . B . .
process_exit_status                  .text    000000000005B330 00000078 0000000C 00000004 R . . . B . .
reset_job_indices                    .text    000000000005B3B0 0000023E 00000010 00000000 R . . . B . .
nohup_job                            .text    000000000005B5F0 0000005E 00000010 00000004 R . . . B . .
append_process                       .text    000000000005B650 00000122 0000004C 00000010 R . . . B . .
terminate_current_pipeline           .text    000000000005B780 00000094 0000002C 00000000 R . . . B . .
terminate_stopped_jobs               .text    000000000005B820 000000E2 0000002C 00000000 R . . . B . .
hangup_all_jobs                      .text    000000000005B910 0000010C 0000002C 00000000 R . . . B . .
kill_current_pipeline                .text    000000000005BA20 00000029 0000000C 00000000 R . . . B . .
get_job_by_pid                       .text    000000000005BA50 00000150 0000014C 00000008 R . . . B . .
find_job                             .text    000000000005BBA0 00000117 00000024 0000000C R . . . B . .
describe_pid                         .text    000000000005BCC0 000001A0 0000015C 00000004 R . . . B . .
list_one_job                         .text    000000000005BE60 00000055 0000002C 00000010 R . . . B . .
pretty_print_job                     .text    000000000005BEC0 00000195 0000004C 0000000C R . . . B . .
list_stopped_jobs                    .text    000000000005C060 00000056 0000002C 00000004 R . . . B . .
map_over_jobs                        .text    000000000005C0C0 000001D5 0000016C 0000000C R . . . B . .
print_job                            .text    000000000005C2A0 00000076 0000003C 00000010 R . . . B . .
list_running_jobs                    .text    000000000005C320 00000056 0000002C 00000004 R . . . B . .
list_all_jobs                        .text    000000000005C380 00000056 0000002C 00000004 R . . . B . .
make_child                           .text    000000000005C3E0 000006EF 0000019C 00000008 R . . . B . .
waitchld                             .text    000000000005CAD0 00000565 0000006C 00000008 R . . . B . .
ignore_tty_job_signals               .text    000000000005D040 00000084 0000002C 00000000 R . . . B . .
default_tty_job_signals              .text    000000000005D0D0 00000090 0000003C 00000000 R . . . B . .
give_terminal_to                     .text    000000000005D160 00000242 0000016C 00000008 R . . . B . .
add_process                          .text    000000000005D3B0 000000E0 0000003C 00000008 R . . . B . .
delete_old_job                       .text    000000000005D490 000000DA 0000003C 00000004 R . . . B . .
bgp_delete                           .text    000000000005D570 0000016A 0000003C 00000004 R . . . B . .
get_tty_state                        .text    000000000005D6E0 000000DA 0000002C 00000000 R . . . B . .
set_tty_state                        .text    000000000005D7C0 000000F8 0000003C 00000000 R . . . B . .
wait_for_single_pid                  .text    000000000005D8C0 00000372 0000018C 00000004 R . . . B . .
find_pipeline                        .text    000000000005DC40 0000012E 0000003C 0000000C R . . . B . .
bgp_search                           .text    000000000005DD70 0000006B 00000010 00000004 R . . . B . .
wait_for                             .text    000000000005DDE0 00000BBA 000001DC 00000004 R . . . B . .
wait_for_background_pids             .text    000000000005E9A0 00000310 0000016C 00000000 R . . . B . .
find_last_pid                        .text    000000000005ECB0 00000042 0000001C 00000008 R . . . B . .
mark_all_jobs_as_dead                .text    000000000005ED00 0000018A 0000014C 00000000 R . . . B . .
mark_dead_jobs_as_notified           .text    000000000005EE90 00000480 0000017C 00000004 R . . . B . .
bgp_clear                            .text    000000000005F310 0000008D 0000002C 00000000 R . . . B . .
job_exit_status                      .text    000000000005F3A0 0000003A 0000001C 00000004 R . . . B . .
raw_job_exit_status                  .text    000000000005F3E0 000000EF 00000020 00000004 R . . . B . .
job_exit_signal                      .text    000000000005F4D0 0000003A 0000001C 00000004 R . . . B . .
process_exit_signal                  .text    000000000005F510 00000046 0000000C 00000004 R . . . B . .
wait_sigint_handler                  .text    000000000005F560 000001A4 0000002C 00000004 R . . . B . .
restore_sigint_handler               .text    000000000005F710 00000063 0000001C 00000000 R . . . B . .
job_signal_status                    .text    000000000005F780 00000097 00000018 00000004 R . . . B . .
notify_and_cleanup                   .text    000000000005F820 00000072 0000000C 00000000 R . . . B . .
wait_for_job                         .text    000000000005F8A0 000002B8 0000017C 00000004 R . . . B . .
notify_of_job_status                 .text    000000000005FB60 0000091B 000001BC 00000000 R . . . B . .
reap_dead_jobs                       .text    0000000000060480 00000037 0000001C 00000000 R . . . B . .
start_job                            .text    00000000000604C0 0000074C 000001DC 00000008 R . . . B . .
current_working_directory            .text    0000000000060C10 000000DA 0000002C 00000000 R . . . B . .
set_current_job                      .text    0000000000060CF0 000001A4 0000001C 00000004 R . . . B . .
set_job_running                      .text    0000000000060EA0 00000091 00000014 00000004 R . . . B . .
kill_pid                             .text    0000000000060F40 0000046D 0000017C 0000000C R . . . B . .
run_sigchld_trap                     .text    00000000000613B0 000002B5 0000006C 00000004 R . . . B . .
initialize_job_control               .text    0000000000061670 000006B2 000000AC 00000004 R . . . B . .
set_new_line_discipline              .text    0000000000061D30 00000013 00000008 00000004 R . . . B . .
sigchld_handler                      .text    0000000000061D50 0000008E 0000002C 00000004 R . . . B . .
initialize_job_signals               .text    0000000000061DE0 00000154 0000004C 00000000 R . . . B . .
sigstop_sighandler                   .text    0000000000061F40 000000FC 0000004C 00000004 R . . . B . .
delete_all_jobs                      .text    0000000000062040 00000253 0000015C 00000004 R . . . B . .
nohup_all_jobs                       .text    00000000000622A0 000001A8 0000014C 00000004 R . . . B . .
count_all_jobs                       .text    0000000000062450 00000183 0000014C 00000000 R . . . B . .
freeze_jobs_list                     .text    00000000000625E0 0000001B 00000004 00000000 R . . . B . .
unfreeze_jobs_list                   .text    0000000000062600 0000001B 00000004 00000000 R . . . B . .
