_init_proc                           .init    000000000001D6DC 00000023 0000000C 00000000 R . . . . . .
print_deferred_heredocs              .text    000000000003E350 000001A4 0000001C 00000004 R . . . B . .
print_function_def                   .text    000000000003E500 0000019A 0000002C 00000004 R . . . B . .
print_group_command                  .text    000000000003E6A0 00000156 0000001C 00000004 R . . . B . .
semicolon                            .text    000000000003E800 00000089 0000001C 00000000 R . . . B . .
print_case_clauses                   .text    000000000003E890 00000175 0000001C 00000004 R . . . B . .
print_until_or_while                 .text    000000000003EA10 00000122 0000002C 00000008 R . . . B . .
print_heredoc_header                 .text    000000000003EB40 00000157 0000002C 00000004 R . . . B . .
print_heredoc_body                   .text    000000000003ECA0 00000047 0000001C 00000004 R . . . B . .
reset_locals                         .text    000000000003ECF0 00000039 00000004 00000000 R . . . B . .
print_redirection                    .text    000000000003ED30 00000749 0000003C 00000004 R . . . B . .
print_heredocs                       .text    000000000003F480 0000007D 0000001C 00000004 R . . . B . .
the_printed_command_resize           .text    000000000003F500 0000011D 0000003C 00000004 R . . . B . .
dispose_command                      .text    000000000003F620 000005A4 000000AC 00000004 R . . . B . .
dispose_redirects                    .text    000000000003FBD0 00000157 0000004C 00000004 R . . . B . .
dispose_word                         .text    000000000003FD30 000001CB 0000004C 00000004 R . . . B . .
dispose_words                        .text    000000000003FF00 000001B7 0000004C 00000004 R . . . B . .
dispose_cond_node                    .text    00000000000400C0 000000B2 0000002C 00000004 R . . . B . .
dispose_function_def                 .text    0000000000040180 00000059 0000002C 00000004 R . . . B . .
dispose_function_def_contents        .text    00000000000401E0 00000084 0000002C 00000004 R . . . B . .
dispose_word_desc                    .text    0000000000040270 00000192 0000003C 00000004 R . . . B . .
new_fd_bitmap                        .text    0000000000040410 000000D2 0000003C 00000004 R . . . B . .
dispose_fd_bitmap                    .text    00000000000404F0 0000008D 0000002C 00000004 R . . . B . .
close_fd_bitmap                      .text    0000000000040580 0000008A 0000001C 00000004 R . . . B . .
executing_line_number                .text    0000000000040610 0000010C 0000000C 00000000 R . . . B . .
execute_command                      .text    0000000000040720 00000140 0000003C 00000004 R . . . B . .
execute_command_internal             .text    0000000000040860 000014E4 0000012C 00000014 R . . . B . .
dispose_exec_redirects               .text    0000000000041D50 0000004F 0000001C 00000000 R . . . B . .
execute_in_subshell                  .text    0000000000041DA0 00000615 0000008C 00000014 R . . . B . .
execute_coproc                       .text    00000000000423C0 000004E1 000001EC 00000010 R . . . B . .
shell_control_structure              .text    00000000000428B0 00000068 0000001C 00000004 R . . . B . .
close_pipes                          .text    0000000000042920 0000005E 0000002C 00000008 R . . . B . .
time_command                         .text    0000000000042980 000005A6 0000021C 00000014 R . . . B . .
cleanup_redirects                    .text    0000000000042F30 00000050 0000002C 00000004 R . . . B . .
execute_simple_command               .text    0000000000042F80 000011B4 0000012C 00000014 R . . . B . .
execute_for_command                  .text    0000000000044140 0000058F 0000006C 00000004 R . . . B . .
execute_arith_for_command            .text    00000000000446D0 00000319 0000004C 00000004 R . . . B . .
execute_select_command               .text    00000000000449F0 00000609 0000007C 00000004 R . . . B . .
execute_case_command                 .text    0000000000045000 000005BD 0000009C 00000004 R . . . B . .
execute_while_command                .text    00000000000455C0 00000039 0000001C 00000004 R . . . B . .
execute_until_command                .text    0000000000045600 0000003C 0000001C 00000004 R . . . B . .
execute_if_command                   .text    0000000000045640 0000018F 0000002C 00000004 R . . . B . .
execute_connection                   .text    00000000000457D0 000006E9 0000009C 00000014 R . . . B . .
execute_arith_command                .text    0000000000045EC0 000002ED 0000006C 00000004 R . . . B . .
execute_cond_command                 .text    00000000000461B0 000001E7 0000004C 00000004 R . . . B . .
execute_intern_function              .text    00000000000463A0 000001DE 0000003C 00000008 R . . . B . .
getcoprocbypid                       .text    0000000000046580 0000002E 00000008 00000004 R . . . B . .
getcoprocbyname                      .text    00000000000465B0 0000009D 0000002C 00000004 R . . . B . .
coproc_init                          .text    0000000000046650 00000068 00000008 00000004 R . . . B . .
coproc_alloc                         .text    00000000000466C0 000000B6 0000003C 00000008 R . . . B . .
coproc_dispose                       .text    0000000000046780 0000019D 0000014C 00000004 R . . . B . .
coproc_unsetvars                     .text    0000000000046920 000000F5 0000004C 00000004 R . . . B . .
coproc_close                         .text    0000000000046A20 0000008C 0000001C 00000004 R . . . B . .
coproc_flush                         .text    0000000000046AB0 00000027 00000008 00000000 R . . . B . .
coproc_closeall                      .text    0000000000046AE0 00000027 00000008 00000000 R . . . B . .
coproc_reap                          .text    0000000000046B10 0000004F 0000001C 00000000 R . . . B . .
coproc_rclose                        .text    0000000000046B60 00000062 0000001C 00000008 R . . . B . .
coproc_wclose                        .text    0000000000046BD0 00000062 0000001C 00000008 R . . . B . .
coproc_checkfd                       .text    0000000000046C40 000000A1 0000001C 00000008 R . . . B . .
coproc_setvars                       .text    0000000000046CF0 00000283 0000006C 00000004 R . . . B . .
coproc_fdchk                         .text    0000000000046F80 00000036 0000001C 00000004 R . . . B . .
coproc_fdclose                       .text    0000000000046FC0 0000005F 0000001C 00000008 R . . . B . .
coproc_fdsave                        .text    0000000000047020 00000027 00000008 00000004 R . . . B . .
coproc_fdrestore                     .text    0000000000047050 00000027 00000008 00000004 R . . . B . .
coproc_pidchk                        .text    0000000000047080 00000074 0000001C 00000008 R . . . B . .
execute_shell_function               .text    0000000000047100 000000D0 0000004C 00000008 R . . . B . .
execute_function                     .text    00000000000471D0 00000CD7 0000017C 00000018 R . . . B . .
setup_async_signals                  .text    0000000000047EB0 000000A1 0000002C 00000000 R . . . B . .
shell_execve                         .text    0000000000047F60 000007E7 0000011C 0000000C R . . . B . .
getinterp                            .text    0000000000048750 00000155 0000003C 0000000C R . . . B . .
initialize_subshell                  .text    00000000000488B0 00000105 0000002C 00000000 R . . . B . .
print_formatted_time                 .text    00000000000489C0 0000064B 000000DC 00000024 R . . . B . .
mkfmt                                .text    0000000000049010 00000243 00000058 00000014 R . . . B . .
do_piping                            .text    0000000000049260 00000175 0000004C 00000008 R . . . B . .
async_redirect_stdin                 .text    00000000000493E0 000000C6 0000002C 00000000 R . . . B . .
dup_error                            .text    00000000000494B0 00000053 0000002C 00000008 R . . . B . .
execute_pipeline                     .text    0000000000049510 000007EC 000001DC 00000014 R . . . B . .
restore_signal_mask                  .text    0000000000049D00 0000004B 0000002C 00000004 R . . . B . .
restore_stdin                        .text    0000000000049D50 00000050 0000002C 00000004 R . . . B . .
lastpipe_cleanup                     .text    0000000000049DA0 00000024 0000000C 00000004 R . . . B . .
eval_arith_for_expr                  .text    0000000000049DD0 00000217 0000004C 00000008 R . . . B . .
select_query                         .text    0000000000049FF0 000003B0 0000009C 00000010 R . . . B . .
displen                              .text    000000000004A3A0 0000019F 0000004C 00000004 R . . . B . .
print_select_list                    .text    000000000004A540 000002DA 0000008C 00000010 R . . . B . .
print_index_and_element              .text    000000000004A820 0000010F 0000004C 0000000C R . . . B . .
indent_0                             .text    000000000004A930 000000E3 0000003C 00000008 R . . . B . .
execute_while_or_until               .text    000000000004AA20 0000023C 0000002C 00000008 R . . . B . .
execute_cond_node                    .text    000000000004AC60 0000065B 0000008C 00000004 R . . . B . .
bind_lastarg                         .text    000000000004B2C0 00000070 0000002C 00000004 R . . . B . .
fix_assignment_words                 .text    000000000004B330 000005DB 0000006C 00000004 R . . . B . .
execute_null_command                 .text    000000000004B910 00000238 0000005C 00000010 R . . . B . .
execute_subshell_builtin_or_function .text    000000000004BB50 0000036D 000000AC 00000024 . . . . B . .
execute_builtin_or_function          .text    000000000004BEC0 000003A1 0000008C 00000018 R . . . B . .
builtin_status                       .text    000000000004C270 0000007A 0000001C 00000004 R . . . B . .
is_dirname                           .text    000000000004C2F0 000000A5 0000003C 00000004 R . . . B . .
execute_disk_command                 .text    000000000004C3A0 000005C5 000000AC 00000020 R . . . B . .
execute_builtin                      .text    000000000004C970 000004F1 0000007C 00000010 R . . . B . .
initialize_shell_variables           .text    000000000004CE70 00000AB6 000000CC 00000008 R . . . B . .
create_variable_tables               .text    000000000004D930 000000E8 0000002C 00000000 R . . . B . .
find_function                        .text    000000000004DA20 00000038 0000001C 00000004 R . . . B . .
bind_variable                        .text    000000000004DA60 00000291 0000006C 0000000C R . . . B . .
find_variable                        .text    000000000004DD00 000000C6 0000002C 00000004 R . . . B . .
set_pwd                              .text    000000000004DDD0 0000027B 0000004C 00000000 R . . . B . .
set_if_not                           .text    000000000004E050 000000A7 0000003C 00000008 R . . . B . .
set_machine_vars                     .text    000000000004E100 0000009B 0000001C 00000000 R . . . B . .
initialize_shell_level               .text    000000000004E1A0 0000002F 0000001C 00000000 R . . . B . .
set_ppid                             .text    000000000004E1D0 000000B1 0000003C 00000000 R . . . B . .
set_home_var                         .text    000000000004E290 00000066 0000002C 00000000 R . . . B . .
get_bash_name                        .text    000000000004E300 0000047A 0000008C 00000000 R . . . B . .
set_shell_var                        .text    000000000004E780 00000086 0000002C 00000000 R . . . B . .
make_vers_array                      .text    000000000004E810 00000208 0000008C 00000000 R . . . B . .
sv_strict_posix                      .text    000000000004EA20 00000081 0000001C 00000004 R . . . B . .
seedrand                             .text    000000000004EAB0 0000005A 0000002C 00000000 R . . . B . .
sv_ignoreeof                         .text    000000000004EB10 000000E6 0000002C 00000004 R . . . B . .
sv_history_control                   .text    000000000004EC00 000001FF 0000003C 00000004 R . . . B . .
sv_histignore                        .text    000000000004EE00 0000002C 0000001C 00000004 R . . . B . .
sv_histtimefmt                       .text    000000000004EE30 0000007B 0000001C 00000004 R . . . B . .
uidset                               .text    000000000004EEB0 00000134 0000004C 00000000 R . . . B . .
sv_xtracefd                          .text    000000000004EFF0 0000017B 0000003C 00000004 R . . . B . .
initialize_dynamic_variables         .text    000000000004F170 00000422 0000006C 00000000 R . . . B . .
sh_get_home_dir                      .text    000000000004F5A0 0000003E 0000000C 00000000 R . . . B . .
adjust_shell_level                   .text    000000000004F5E0 00000281 0000005C 00000004 R . . . B . .
get_string_value                     .text    000000000004F870 0000005F 0000001C 00000004 R . . . B . .
sh_set_lines_and_columns             .text    000000000004F8D0 000000DD 0000004C 00000008 R . . . B . .
print_var_list                       .text    000000000004F9B0 00000094 0000002C 00000004 R . . . B . .
print_assignment                     .text    000000000004FA50 0000015B 0000003C 00000004 R . . . B . .
print_func_list                      .text    000000000004FBB0 000000B0 0000002C 00000004 R . . . B . .
print_var_function                   .text    000000000004FC60 0000008F 0000002C 00000004 R . . . B . .
print_var_value                      .text    000000000004FCF0 0000019A 0000004C 00000008 R . . . B . .
get_random_number                    .text    000000000004FE90 00000083 0000001C 00000000 R . . . B . .
brand                                .text    000000000004FF20 00000088 0000001C 00000000 R . . . B . .
make_funcname_visible                .text    000000000004FFB0 0000007B 0000001C 00000004 R . . . B . .
var_lookup                           .text    0000000000050030 0000007E 0000002C 00000008 R . . . B . .
hash_lookup                          .text    00000000000500B0 00000089 0000003C 00000008 R . . . B . .
find_variable_internal               .text    0000000000050140 00000130 0000003C 00000008 R . . . B . .
find_variable_nameref                .text    0000000000050270 0000017D 0000003C 00000004 R . . . B . .
find_variable_last_nameref           .text    00000000000503F0 0000013F 0000003C 00000004 R . . . B . .
find_variable_noref                  .text    0000000000050530 0000008D 0000002C 00000004 R . . . B . .
find_global_variable_last_nameref    .text    00000000000505C0 000000E3 0000002C 00000004 R . . . B . .
find_global_variable_noref           .text    00000000000506B0 00000089 0000002C 00000004 R . . . B . .
find_variable_tempenv                .text    0000000000050740 00000074 0000002C 00000004 R . . . B . .
find_variable_notempenv              .text    00000000000507C0 00000071 0000002C 00000004 R . . . B . .
find_global_variable                 .text    0000000000050840 000000B8 0000002C 00000004 R . . . B . .
find_shell_variable                  .text    0000000000050900 000000B8 0000002C 00000004 R . . . B . .
find_function_def                    .text    00000000000509C0 00000038 0000001C 00000004 R . . . B . .
get_variable_value                   .text    0000000000050A00 000000B5 0000002C 00000004 R . . . B . .
sh_get_env_value                     .text    0000000000050AC0 0000002C 0000001C 00000004 R . . . B . .
bind_variable_internal               .text    0000000000050AF0 00000757 000000AC 00000014 R . . . B . .
make_local_variable                  .text    0000000000051250 000003DA 0000004C 00000004 R . . . B . .
make_new_variable                    .text    0000000000051630 000000D8 0000003C 00000008 R . . . B . .
make_new_array_variable              .text    0000000000051710 00000064 0000002C 00000004 R . . . B . .
make_local_array_variable            .text    0000000000051780 000000B2 0000002C 00000008 R . . . B . .
dispose_variable_value               .text    0000000000051840 00000151 0000002C 00000004 R . . . B . .
make_new_assoc_variable              .text    00000000000519A0 00000070 0000002C 00000004 R . . . B . .
make_local_assoc_variable            .text    0000000000051A10 0000009C 0000002C 00000004 R . . . B . .
make_variable_value                  .text    0000000000051AB0 000007C4 000000DC 0000000C R . . . B . .
bind_tempenv_variable                .text    0000000000052280 00000165 0000004C 00000008 R . . . B . .
find_variable_nameref_context        .text    00000000000523F0 000000DA 0000003C 0000000C R . . . B . .
find_variable_last_nameref_context   .text    00000000000524D0 000000C6 0000003C 0000000C R . . . B . .
bind_global_variable                 .text    00000000000525A0 00000083 0000004C 0000000C R . . . B . .
bind_variable_value                  .text    0000000000052630 000002B6 0000005C 0000000C R . . . B . .
bind_int_variable                    .text    00000000000528F0 000001AC 0000004C 00000008 R . . . B . .
bind_var_to_int                      .text    0000000000052AA0 0000008E 0000005C 0000000C R . . . B . .
bind_function                        .text    0000000000052B30 000001F6 0000004C 00000008 R . . . B . .
new_shell_variable                   .text    0000000000052D30 000000EE 0000003C 00000004 R . . . B . .
bind_function_def                    .text    0000000000052E20 00000128 0000004C 00000008 R . . . B . .
assign_in_env                        .text    0000000000052F50 00000479 0000008C 00000008 R . . . B . .
mk_env_string                        .text    00000000000533D0 0000016A 0000004C 00000008 R . . . B . .
stupidly_hack_special_variables      .text    0000000000053540 000000AF 0000003C 00000004 R . . . B . .
dispose_variable                     .text    00000000000535F0 00000110 0000002C 00000004 R . . . B . .
unbind_variable                      .text    0000000000053700 000000DA 0000002C 00000004 R . . . B . .
makunbound                           .text    00000000000537E0 000004D9 0000008C 00000008 R . . . B . .
unbind_nameref                       .text    0000000000053CC0 0000008A 0000002C 00000004 R . . . B . .
unbind_func                          .text    0000000000053D50 0000011A 0000003C 00000004 R . . . B . .
unbind_function_def                  .text    0000000000053E70 000000E5 0000003C 00000004 R . . . B . .
delete_var                           .text    0000000000053F60 00000118 0000004C 00000008 R . . . B . .
kill_all_local_variables             .text    0000000000054080 000000CC 0000001C 00000000 R . . . B . .
delete_all_variables                 .text    0000000000054150 00000036 0000001C 00000004 R . . . B . .
free_variable_hash_data              .text    0000000000054190 00000032 0000001C 00000004 R . . . B . .
set_var_read_only                    .text    00000000000541D0 000000AA 0000002C 00000004 R . . . B . .
map_over                             .text    0000000000054280 0000012C 0000004C 00000008 R . . . B . .
vlist_alloc                          .text    00000000000543B0 000000AF 0000003C 00000004 R . . . B . .
flatten                              .text    0000000000054460 00000176 0000004C 00000010 R . . . B . .
map_over_funcs                       .text    00000000000545E0 0000012B 0000004C 00000004 R . . . B . .
sort_variables                       .text    0000000000054710 00000065 0000002C 00000004 R . . . B . .
qsort_var_comp                       .text    0000000000054780 0000006D 0000002C 00000008 R . . . B . .
all_shell_variables                  .text    00000000000547F0 0000002C 0000001C 00000000 R . . . B . .
vapply                               .text    0000000000054820 00000059 0000001C 00000004 R . . . B . .
all_shell_functions                  .text    0000000000054880 0000002C 0000001C 00000000 R . . . B . .
fapply                               .text    00000000000548B0 0000004D 0000001C 00000004 R . . . B . .
all_visible_functions                .text    0000000000054900 00000027 00000008 00000000 R . . . B . .
visible_var                          .text    0000000000054930 00000026 00000008 00000004 R . . . B . .
all_visible_variables                .text    0000000000054960 00000027 00000008 00000000 R . . . B . .
all_exported_variables               .text    0000000000054990 00000027 00000008 00000000 R . . . B . .
visible_and_exported                 .text    00000000000549C0 00000046 0000000C 00000004 R . . . B . .
local_exported_variables             .text    0000000000054A10 00000027 00000008 00000000 R . . . B . .
local_and_exported                   .text    0000000000054A40 00000091 00000018 00000004 R . . . B . .
all_local_variables                  .text    0000000000054AE0 000001D3 0000004C 00000000 R . . . B . .
variable_in_context                  .text    0000000000054CC0 00000076 00000014 00000004 R . . . B . .
all_array_variables                  .text    0000000000054D40 00000027 00000008 00000000 R . . . B . .
visible_array_vars                   .text    0000000000054D70 00000046 0000000C 00000004 R . . . B . .
all_variables_matching_prefix        .text    0000000000054DC0 0000028F 0000005C 00000004 R . . . B . .
find_tempenv_variable                .text    0000000000055050 00000062 0000001C 00000004 R . . . B . .
dispose_used_env_vars                .text    00000000000550C0 00000046 0000001C 00000000 R . . . B . .
dispose_temporary_env                .text    0000000000055110 00000155 0000002C 00000004 R . . . B . .
propagate_temp_var                   .text    0000000000055270 0000010C 0000003C 00000004 R . . . B . .
maybe_make_export_env                .text    0000000000055380 0000028B 0000004C 00000000 R . . . B . .
merge_temporary_env                  .text    0000000000055610 0000003E 0000001C 00000000 R . . . B . .
push_temp_var                        .text    0000000000055650 00000215 0000005C 00000004 R . . . B . .
add_or_supercede_exported_var        .text    0000000000055870 00000326 0000005C 00000008 R . . . B . .
chkexport                            .text    0000000000055BA0 0000007A 0000001C 00000004 R . . . B . .
n_shell_variables                    .text    0000000000055C20 00000075 00000010 00000000 R . . . B . .
new_var_context                      .text    0000000000055CA0 0000010F 0000004C 00000008 R . . . B . .
make_var_export_array                .text    0000000000055DB0 00000094 0000002C 00000004 R . . . B . .
add_temp_array_to_env                .text    0000000000055E50 000001DD 0000004C 0000000C R . . . B . .
make_func_export_array               .text    0000000000056030 00000087 0000002C 00000000 R . . . B . .
update_export_env_inplace            .text    00000000000560C0 00000150 0000004C 0000000C R . . . B . .
put_command_name_into_env            .text    0000000000056210 00000048 0000002C 00000004 R . . . B . .
dispose_var_context                  .text    0000000000056260 000000BA 0000002C 00000004 R . . . B . .
push_var_context                     .text    0000000000056320 000000B5 0000003C 0000000C R . . . B . .
set_context                          .text    00000000000563E0 00000029 00000008 00000004 R . . . B . .
pop_var_context                      .text    0000000000056410 000000ED 0000001C 00000000 R . . . B . .
push_func_var                        .text    0000000000056500 00000188 0000003C 00000004 R . . . B . .
delete_all_contexts                  .text    0000000000056690 00000089 0000001C 00000004 R . . . B . .
push_scope                           .text    0000000000056720 00000048 0000002C 00000008 R . . . B . .
pop_scope                            .text    0000000000056770 0000017C 0000003C 00000004 R . . . B . .
push_exported_var                    .text    00000000000568F0 00000113 0000003C 00000004 R . . . B . .
sv_ifs                               .text    0000000000056A10 00000043 0000001C 00000004 R . . . B . .
push_context                         .text    0000000000056A60 00000079 0000003C 0000000C R . . . B . .
push_dollar_vars                     .text    0000000000056AE0 000000B9 0000002C 00000000 R . . . B . .
pop_context                          .text    0000000000056BA0 0000004D 0000001C 00000000 R . . . B . .
pop_dollar_vars                      .text    0000000000056BF0 000000B1 0000001C 00000000 R . . . B . .
dispose_saved_dollar_vars            .text    0000000000056CB0 00000070 0000001C 00000000 R . . . B . .
push_args                            .text    0000000000056D20 000001A7 0000005C 00000004 R . . . B . .
pop_args                             .text    0000000000056ED0 000001AF 0000005C 00000000 R . . . B . .
sv_compare                           .text    0000000000057080 00000065 0000002C 00000008 R . . . B . .
find_special_var                     .text    00000000000570F0 000000CB 0000002C 00000004 R . . . B . .
reinit_special_variables             .text    00000000000571C0 00000052 0000001C 00000000 R . . . B . .
sv_comp_wordbreaks                   .text    0000000000057220 00000044 0000001C 00000004 R . . . B . .
sv_globignore                        .text    0000000000057270 0000003F 0000001C 00000004 R . . . B . .
sv_opterr                            .text    00000000000572B0 0000007F 0000001C 00000004 R . . . B . .
sv_path                              .text    0000000000057330 00000024 0000000C 00000004 R . . . B . .
sv_mail                              .text    0000000000057360 0000004F 0000001C 00000004 R . . . B . .
sv_funcnest                          .text    00000000000573B0 00000098 0000002C 00000004 R . . . B . .
sv_terminal                          .text    0000000000057450 00000064 0000001C 00000004 R . . . B . .
sv_hostfile                          .text    00000000000574C0 00000058 0000001C 00000004 R . . . B . .
sv_histsize_0                        .text    0000000000057520 00000176 0000003C 00000004 R . . . B . .
sv_histchars                         .text    00000000000576A0 000000C4 0000001C 00000004 R . . . B . .
sv_tz                                .text    0000000000057770 00000040 0000001C 00000004 R . . . B . .
sv_optind                            .text    00000000000577B0 00000094 0000001C 00000004 R . . . B . .
sv_locale                            .text    0000000000057850 000000B1 0000002C 00000004 R . . . B . .
set_pipestatus_array                 .text    0000000000057910 00000307 0000005C 00000008 R . . . B . .
save_pipestatus_array                .text    0000000000057C20 0000008C 0000002C 00000000 R . . . B . .
restore_pipestatus_array             .text    0000000000057CB0 00000085 0000001C 00000004 R . . . B . .
set_pipestatus_from_exit             .text    0000000000057D40 0000004A 0000001C 00000004 R . . . B . .
sv_shcompat                          .text    0000000000057D90 00000235 0000004C 00000004 R . . . B . .
sv_childmax                          .text    0000000000057FD0 0000007F 0000002C 00000004 R . . . B . .
sbrand                               .text    0000000000058050 0000002E 00000008 00000004 R . . . B . .
init_seconds_var                     .text    0000000000058080 000000EC 0000002C 00000000 R . . . B . .
get_bash_command                     .text    0000000000058170 00000126 0000003C 00000004 R . . . B . .
get_subshell                         .text    00000000000582A0 0000008D 0000002C 00000004 R . . . B . .
assign_subshell                      .text    0000000000058330 00000094 0000004C 00000014 R . . . B . .
get_random                           .text    00000000000583D0 000000A7 0000002C 00000004 R . . . B . .
assign_random                        .text    0000000000058480 0000009A 0000004C 00000014 R . . . B . .
get_lineno                           .text    0000000000058520 00000090 0000002C 00000004 R . . . B . .
assign_lineno                        .text    00000000000585B0 0000009C 0000004C 00000014 R . . . B . .
get_bashpid                          .text    0000000000058650 0000009C 0000002C 00000004 R . . . B . .
null_assign                          .text    00000000000586F0 00000030 00000024 00000014 R . . . B . .
get_histcmd                          .text    0000000000058720 0000008D 0000002C 00000004 R . . . B . .
get_comp_wordbreaks                  .text    00000000000587B0 00000109 0000003C 00000004 R . . . B . .
assign_comp_wordbreaks               .text    00000000000588C0 000000F9 0000004C 00000014 R . . . B . .
init_dynamic_array_var               .text    00000000000589C0 000000A4 0000003C 00000010 R . . . B . .
get_dirstack                         .text    0000000000058A70 00000074 0000002C 00000004 R . . . B . .
assign_dirstack                      .text    0000000000058AF0 0000005F 0000003C 00000014 R . . . B . .
get_groupset                         .text    0000000000058B50 000000AD 0000003C 00000004 R . . . B . .
null_array_assign                    .text    0000000000058C00 00000030 00000024 00000014 R . . . B . .
get_self                             .text    0000000000058C30 00000012 00000008 00000004 R . . . B . .
init_dynamic_assoc_var               .text    0000000000058C50 000000A4 0000003C 00000010 R . . . B . .
get_hashcmd                          .text    0000000000058D00 00000034 0000001C 00000004 R . . . B . .
assign_hashcmd                       .text    0000000000058D40 00000076 0000004C 00000014 R . . . B . .
get_aliasvar                         .text    0000000000058DC0 00000034 0000001C 00000004 R . . . B . .
assign_aliasvar                      .text    0000000000058E00 00000060 0000003C 00000014 R . . . B . .
init_funcname_var                    .text    0000000000058E60 00000092 0000001C 00000000 R . . . B . .
get_seconds                          .text    0000000000058F00 000000C0 0000002C 00000004 R . . . B . .
assign_seconds                       .text    0000000000058FC0 00000098 0000003C 00000014 R . . . B . .
build_hashcmd                        .text    0000000000059060 000001F9 0000005C 00000004 R . . . B . .
build_aliasvar                       .text    0000000000059260 000001FA 0000005C 00000004 R . . . B . .
get_funcname                         .text    0000000000059460 00000012 00000008 00000004 R . . . B . .
find_nameref_at_context              .text    0000000000059480 000000F5 0000003C 00000008 R . . . B . .
vlist_add                            .text    0000000000059580 00000114 0000002C 0000000C R . . . B . .
vlist_realloc                        .text    00000000000596A0 000000B1 0000003C 00000008 R . . . B . .
export_environment_candidate         .text    0000000000059760 00000066 0000000C 00000004 R . . . B . .
make_env_array_from_var_list         .text    00000000000597D0 0000026F 0000005C 00000004 R . . . B . .
copy_word                            .text    0000000000059A40 00000040 0000001C 00000004 R . . . B . .
copy_word_list                       .text    0000000000059A80 0000009B 0000002C 00000004 R . . . B . .
copy_redirect                        .text    0000000000059B20 000001F0 0000006C 00000004 R . . . B . .
copy_redirects                       .text    0000000000059D10 00000094 0000002C 00000004 R . . . B . .
copy_function_def_contents           .text    0000000000059DB0 00000111 0000003C 00000008 R . . . B . .
copy_command                         .text    0000000000059ED0 000002EE 0000004C 00000004 R . . . B . .
copy_function_def                    .text    000000000005A1C0 00000074 0000003C 00000004 R . . . B . .
copy_for_command                     .text    000000000005A240 000000B7 0000003C 00000004 R . . . B . .
copy_arith_for_command               .text    000000000005A300 000000CE 0000003C 00000004 R . . . B . .
copy_group_command                   .text    000000000005A3D0 00000073 0000003C 00000004 R . . . B . .
copy_subshell_command                .text    000000000005A450 0000007D 0000003C 00000004 R . . . B . .
copy_coproc_command                  .text    000000000005A4D0 000000DA 0000003C 00000004 R . . . B . .
copy_case_command                    .text    000000000005A5B0 000000A0 0000003C 00000004 R . . . B . .
copy_while_command                   .text    000000000005A650 00000094 0000003C 00000004 R . . . B . .
copy_if_command                      .text    000000000005A6F0 000000CC 0000003C 00000004 R . . . B . .
copy_arith_command                   .text    000000000005A7C0 00000089 0000003C 00000004 R . . . B . .
copy_cond_command                    .text    000000000005A850 00000128 0000003C 00000004 R . . . B . .
copy_simple_command                  .text    000000000005A980 000000C2 0000003C 00000004 R . . . B . .
copy_case_clauses                    .text    000000000005AA50 00000094 0000002C 00000004 R . . . B . .
copy_case_clause                     .text    000000000005AAF0 00000096 0000003C 00000004 R . . . B . .
get_name_for_error                   .text    000000000005AB90 00000126 0000002C 00000000 R . . . B . .
file_error                           .text    000000000005ACC0 0000005A 0000002C 00000004 R . . . B . .
report_error                         .text    000000000005AD20 000000D6 0000003C 00000005 R . . . B . .
programming_error                    .text    000000000005AE00 00000169 0000005C 00000005 . . . . B . .
error_prolog                         .text    000000000005AF70 00000123 0000004C 00000004 R . . . B . .
fatal_error                          .text    000000000005B0A0 0000009C 0000003C 00000005 . . . . B . .
internal_error                       .text    000000000005B140 0000007F 0000003C 00000005 R . . . B . .
internal_warning                     .text    000000000005B1C0 000000AE 0000003C 00000005 R . . . B . .
sys_error                            .text    000000000005B270 000000A4 0000003C 00000005 R . . . B . .
parser_error                         .text    000000000005B320 000002F4 0000008C 00000009 R . . . B . .
command_error                        .text    000000000005B620 00000083 0000003C 00000010 . . . . B . .
command_errstr                       .text    000000000005B6B0 0000004A 0000001C 00000004 R . . . B . .
err_badarraysub                      .text    000000000005B700 00000058 0000002C 00000004 R . . . B . .
err_unboundvar                       .text    000000000005B760 00000044 0000001C 00000004 R . . . B . .
err_readonly                         .text    000000000005B7B0 00000044 0000001C 00000004 R . . . B . .
evalexp                              .text    000000000005B800 00000202 000000FC 00000008 R . . . B . .
expr_unwind                          .text    000000000005BA10 00000168 0000003C 00000000 R . . . B . .
subexpr                              .text    000000000005BB80 00000291 0000004C 00000004 R . . . B . .
pushexp                              .text    000000000005BE20 0000019E 0000003C 00000000 R . . . B . .
init_lvalue                          .text    000000000005BFC0 00000041 00000008 00000004 R . . . B . .
readtok                              .text    000000000005C010 00000B7E 000000CC 00000000 R . . . B . .
expcomma                             .text    000000000005CB90 0000005A 0000001C 00000000 R . . . B . .
evalerror                            .text    000000000005CBF0 00000177 0000005C 00000004 . . . . B . .
popexp                               .text    000000000005CD70 00000124 0000002C 00000000 R . . . B . .
expr_streval                         .text    000000000005CEA0 000002BC 0000007C 0000000C R . . . B . .
strlong                              .text    000000000005D160 00000338 0000006C 00000004 R . . . B . .
_is_arithop                          .text    000000000005D4A0 0000012E 00000040 00000004 R . . . B . .
_is_multiop                          .text    000000000005D5D0 00000055 00000018 00000004 R . . . B . .
expassign                            .text    000000000005D630 0000065B 000000DC 00000000 R . . . B . .
expcond                              .text    000000000005DC90 00000200 0000004C 00000000 R . . . B . .
expr_bind_array_element              .text    000000000005DE90 0000016F 0000007C 00000010 R . . . B . .
