_init_proc                           .init    000000000001D6DC 00000023 0000000C 00000000 R . . . . . .
_ttyname                             .plt     000000000001DD30 00000006                   R . . . . T .
_setrlimit64                         .plt     000000000001DD40 00000006                   R . . . . . .
_strlen                              .plt     000000000001DD50 00000006                   R . . . . T .
_iconv                               .plt     000000000001DD60 00000006                   R . . . . T .
_iconv_close                         .plt     000000000001DD70 00000006                   R . . . . T .
___libc_start_main                   .plt     000000000001DD80 00000006                   R . . . . . .
_wctob                               .plt     000000000001DD90 00000006                   R . . . . T .
_fprintf                             .plt     000000000001DDA0 00000006                   R . . . . T .
_execve                              .plt     000000000001DDB0 00000006                   R . . . . T .
_write                               .plt     000000000001DDC0 00000006                   R . . . . T .
_sigdelset                           .plt     000000000001DDD0 00000006                   R . . . . T .
_strcasecmp                          .plt     000000000001DDE0 00000006                   R . . . . T .
_iswupper                            .plt     000000000001DDF0 00000006                   R . . . . T .
_getpagesize                         .plt     000000000001DE00 00000006                   R . . . . T .
_fcntl                               .plt     000000000001DE10 00000006                   R . . . . T .
_setpwent                            .plt     000000000001DE20 00000006                   R . . . . T .
_sigaddset                           .plt     000000000001DE30 00000006                   R . . . . T .
_dlsym                               .plt     000000000001DE40 00000006                   R . . . . T .
_sigfillset                          .plt     000000000001DE50 00000006                   R . . . . T .
_setvbuf                             .plt     000000000001DE60 00000006                   R . . . . T .
_getgid                              .plt     000000000001DE70 00000006                   R . . . . T .
_setservent                          .plt     000000000001DE80 00000006                   R . . . . T .
_memset                              .plt     000000000001DE90 00000006                   R . . . . T .
_snprintf                            .plt     000000000001DEA0 00000006                   R . . . . T .
_iswalnum                            .plt     000000000001DEB0 00000006                   R . . . . T .
_strchrnul                           .plt     000000000001DEC0 00000006                   R . . . . . .
_putchar                             .plt     000000000001DED0 00000006                   R . . . . T .
___errno_location                    .plt     000000000001DEE0 00000006                   R . . . . T .
_tcgetpgrp                           .plt     000000000001DEF0 00000006                   R . . . . T .
_strncpy                             .plt     000000000001DF00 00000006                   R . . . . T .
_regexec                             .plt     000000000001DF10 00000006                   R . . . . T .
_fileno                              .plt     000000000001DF20 00000006                   R . . . . T .
_asprintf                            .plt     000000000001DF30 00000006                   R . . . . T .
_strtod                              .plt     000000000001DF40 00000006                   R . . . . T .
_getgrent                            .plt     000000000001DF50 00000006                   R . . . . T .
_wcslen                              .plt     000000000001DF60 00000006                   R . . . . T .
_gai_strerror                        .plt     000000000001DF70 00000006                   R . . . . T .
_strncasecmp                         .plt     000000000001DF80 00000006                   R . . . . T .
_pipe                                .plt     000000000001DF90 00000006                   R . . . . T .
_access                              .plt     000000000001DFA0 00000006                   R . . . . T .
_setgrent                            .plt     000000000001DFB0 00000006                   R . . . . T .
_strnlen                             .plt     000000000001DFC0 00000006                   R . . . . . .
___sigsetjmp                         .plt     000000000001DFD0 00000006                   R . . . . T .
_wcswidth                            .plt     000000000001DFE0 00000006                   R . . . . . .
_fork                                .plt     000000000001DFF0 00000006                   R . . . . T .
_sigemptyset                         .plt     000000000001E000 00000006                   R . . . . T .
_strpbrk                             .plt     000000000001E010 00000006                   R . . . . T .
_vfprintf                            .plt     000000000001E020 00000006                   R . . . . T .
_wcschr                              .plt     000000000001E030 00000006                   R . . . . T .
_sendmsg                             .plt     000000000001E040 00000006                   R . . . . T .
_freeaddrinfo                        .plt     000000000001E050 00000006                   R . . . . T .
_nl_langinfo                         .plt     000000000001E060 00000006                   R . . . . T .
_setlocale                           .plt     000000000001E070 00000006                   R . . . . T .
_toupper                             .plt     000000000001E080 00000006                   R . . . . T .
_strrchr                             .plt     000000000001E090 00000006                   R . . . . T .
_getgroups                           .plt     000000000001E0A0 00000006                   R . . . . T .
_endpwent                            .plt     000000000001E0B0 00000006                   R . . . . T .
_mbstowcs                            .plt     000000000001E0C0 00000006                   R . . . . T .
